,Date,Close,High,Low,Open,Volume
0,2018-07-27,101.25,110.0,98.75,100.0,11416
1,2018-07-30,100.25,106.25,99.0,102.5,1748
2,2018-07-31,100.0,104.0,93.75,93.75,656
3,2018-08-01,106.25,108.75,93.75,93.75,556
4,2018-08-02,100.0,107.5,100.0,107.5,268
5,2018-08-03,100.0,104.5,99.75,100.75,1924
6,2018-08-06,99.5,104.5,99.5,103.5,272
7,2018-08-07,97.75,100.0,97.75,100.0,1224
8,2018-08-08,95.0,100.0,95.0,100.0,944
9,2018-08-09,82.5,93.75,81.0,93.75,1400
10,2018-08-10,85.75,87.25,83.25,87.25,20
11,2018-08-13,85.5,89.25,85.0,85.5,264
12,2018-08-14,96.25,96.25,75.0,81.75,1480
13,2018-08-15,93.75,93.75,88.25,93.75,84
14,2018-08-16,93.75,93.75,93.75,93.75,24
15,2018-08-17,96.0,96.0,81.5,94.0,800
16,2018-08-20,88.0,96.0,87.5,95.0,492
17,2018-08-21,92.75,96.25,90.0,91.25,372
18,2018-08-22,90.0,91.25,90.0,91.25,164
19,2018-08-23,88.5,88.5,84.5,87.75,160
20,2018-08-24,81.25,81.5,73.5,79.25,280
21,2018-08-27,75.5,85.25,73.75,85.25,612
22,2018-08-28,77.5,77.5,75.5,77.5,120
23,2018-08-29,75.75,83.25,74.75,83.25,292
24,2018-08-30,78.75,80.0,75.0,76.25,404
25,2018-08-31,77.0,77.5,75.0,75.0,572
26,2018-09-04,78.25,90.0,68.5,83.5,620
27,2018-09-05,72.5,86.5,68.75,70.0,880
28,2018-09-06,72.5,89.5,72.5,74.75,860
29,2018-09-07,72.5,77.25,68.5,77.25,68
30,2018-09-10,70.0,75.0,69.25,75.0,200
31,2018-09-11,71.25,75.0,68.75,69.0,688
32,2018-09-12,72.25,86.25,69.0,75.0,3924
33,2018-09-13,73.5,75.0,62.75,75.0,964
34,2018-09-14,68.75,73.75,68.25,72.5,252
35,2018-09-17,73.0,84.0,69.0,71.25,1348
36,2018-09-18,80.0,97.25,74.75,74.75,11772
37,2018-09-19,72.5,80.0,69.0,79.5,1236
38,2018-09-20,73.5,79.75,71.25,72.0,480
39,2018-09-21,72.5,80.25,72.5,79.0,744
40,2018-09-24,72.75,76.0,70.25,76.0,44
41,2018-09-25,71.25,78.75,70.75,72.25,2392
42,2018-09-26,68.75,73.75,68.75,73.75,868
43,2018-09-27,71.75,74.75,68.75,68.75,92
44,2018-09-28,68.25,77.0,68.25,73.25,712
45,2018-10-01,68.0,71.5,68.0,69.0,480
46,2018-10-02,66.0,69.0,64.0,69.0,1296
47,2018-10-03,67.5,85.0,65.25,71.75,984
48,2018-10-04,68.75,77.5,67.75,67.75,200
49,2018-10-05,68.75,75.0,68.0,68.0,72
50,2018-10-08,68.0,72.0,68.0,71.25,156
51,2018-10-09,74.0,74.0,65.0,65.0,80
52,2018-10-10,65.0,72.0,65.0,72.0,288
53,2018-10-11,66.0,71.5,64.0,68.5,244
54,2018-10-12,65.25,65.75,65.25,65.75,120
55,2018-10-15,64.0,64.75,64.0,64.75,136
56,2018-10-16,64.0,65.5,64.0,65.5,304
57,2018-10-17,64.25,64.25,64.0,64.0,44
58,2018-10-18,54.75,64.75,54.25,64.25,448
59,2018-10-19,65.75,67.0,63.0,63.0,108
60,2018-10-22,60.25,65.5,60.0,65.5,104
61,2018-10-23,65.0,69.75,56.25,65.0,372
62,2018-10-24,52.75,62.75,51.25,62.75,636
63,2018-10-25,50.0,56.0,46.25,56.0,424
64,2018-10-26,48.75,52.5,46.5,49.75,56
65,2018-10-29,47.0,51.0,47.0,51.0,16
66,2018-10-30,47.5,51.5,47.5,50.25,224
67,2018-10-31,47.25,47.75,46.25,47.75,460
68,2018-11-01,47.75,49.25,46.25,49.25,796
69,2018-11-02,50.0,53.0,46.75,47.0,1824
70,2018-11-05,48.25,56.25,46.5,47.5,10136
71,2018-11-06,42.5,53.0,42.5,53.0,1908
72,2018-11-07,35.0,42.0,30.75,42.0,3148
73,2018-11-08,35.0,52.5,31.5,38.5,20500
74,2018-11-09,39.25,41.25,32.5,37.25,5592
75,2018-11-12,35.25,41.0,35.0,40.5,1528
76,2018-11-13,31.75,37.5,31.75,37.5,2608
