,Date,Close,High,Low,Open,Volume
0,1997-08-15,14.75,15.375,14.125,14.75,2919400
1,1997-08-18,15.0,15.5,14.75,14.75,512000
2,1997-08-19,16.5,16.5,15.0,15.5,416300
3,1997-08-20,17.75,17.875,15.75,16.5,428200
4,1997-08-21,18.625,19.5,18.0,18.25,631600
5,1997-08-22,19.125,19.5,17.75,18.125,225900
6,1997-08-25,19.625,20.25,18.75,19.25,96500
7,1997-08-26,18.0,19.75,17.625,19.625,102900
8,1997-08-27,17.125,18.25,16.875,18.125,151700
9,1997-08-28,17.625,17.625,16.875,17.125,329500
10,1997-08-29,17.5,17.875,17.0,17.75,50000
11,1997-09-02,18.125,18.375,17.5,17.5,115900
12,1997-09-03,20.375,20.75,18.25,18.375,368000
13,1997-09-04,21.0,21.75,20.0,20.0,423100
14,1997-09-05,21.625,21.625,21.25,21.5,133000
15,1997-09-08,22.3125,22.875,21.0,21.625,105800
16,1997-09-09,23.0,23.5,22.25,22.5,97300
17,1997-09-10,24.0625,25.0,22.75,23.0,110800
18,1997-09-11,24.375,25.25,24.0,24.5,189800
19,1997-09-12,24.25,25.0,24.25,25.0,94900
20,1997-09-15,24.75,25.0,24.125,24.25,165100
21,1997-09-16,23.5,25.0,23.5,25.0,163500
22,1997-09-17,22.0625,23.625,21.75,23.625,100000
23,1997-09-18,21.3125,22.75,21.0,22.0,110800
24,1997-09-19,21.375,21.5,19.875,21.125,352400
25,1997-09-22,21.3125,21.625,21.0,21.625,78600
26,1997-09-23,20.0,21.5,18.375,21.5,151400
27,1997-09-24,18.625,20.0,18.5,19.75,211200
28,1997-09-25,20.625,20.875,18.625,18.625,318000
29,1997-09-26,19.25,21.5,18.25,21.125,161000
30,1997-09-29,19.25,19.25,18.125,19.0,67100
31,1997-09-30,17.6875,18.375,17.25,17.5,291100
32,1997-10-01,17.5625,18.125,17.0,18.125,146300
33,1997-10-02,16.9375,17.625,16.5,17.125,40300
34,1997-10-03,17.0,17.875,17.0,17.25,84000
35,1997-10-06,16.0,17.375,15.75,17.375,262300
36,1997-10-07,16.625,16.625,15.625,16.25,606700
37,1997-10-08,16.875,17.0,16.5625,16.875,48300
38,1997-10-09,18.375,18.75,16.8125,16.8125,250200
39,1997-10-10,17.625,18.875,17.375,18.75,77800
40,1997-10-13,18.875,19.0,17.625,17.75,87600
41,1997-10-14,18.5,19.0,18.0,19.0,52300
42,1997-10-15,18.25,19.0,18.0,18.875,139100
43,1997-10-16,17.0,18.375,17.0,18.25,103200
44,1997-10-17,15.625,17.125,15.125,17.0,359200
45,1997-10-20,16.25,16.5,15.625,16.5,365100
46,1997-10-21,16.0,16.5,15.75,16.25,215000
47,1997-10-22,16.0625,16.25,15.875,16.0,45700
48,1997-10-23,15.625,16.125,15.25,15.5,10100
49,1997-10-24,14.375,16.0,14.125,15.875,45300
50,1997-10-27,13.25,14.75,13.0,14.75,437200
