,Date,Close,High,Low,Open,Volume
0,2013-04-26,28.0,75.0,12.75,12.75,388
1,2013-04-29,35.0,37.5,30.0,30.0,516
2,2013-04-30,32.25,37.5,25.0,37.5,504
3,2013-05-01,30.0,30.0,25.25,26.25,320
4,2013-05-02,27.5,27.5,22.75,25.0,368
5,2013-05-03,27.5,28.5,25.0,25.0,640
6,2013-05-06,28.5,28.5,28.5,28.5,96
7,2013-05-07,25.0,26.5,25.0,25.25,988
8,2013-05-08,25.0,27.75,21.25,27.75,260
9,2013-05-09,16.25,19.25,15.75,17.5,836
10,2013-05-10,22.5,22.5,16.25,17.75,284
11,2013-05-13,19.0,27.5,18.75,27.5,288
12,2013-05-14,23.5,25.0,17.5,17.5,336
13,2013-05-15,21.5,24.75,21.25,23.5,340
14,2013-05-16,25.25,26.25,24.25,25.25,416
15,2013-05-17,24.75,25.25,24.75,25.25,804
16,2013-05-20,23.75,25.0,20.25,25.0,1132
17,2013-05-21,20.25,23.75,19.5,22.5,740
18,2013-05-22,18.75,20.5,18.75,20.5,288
19,2013-05-23,16.5,18.75,16.25,18.75,784
20,2013-05-24,21.5,21.5,15.0,15.0,132
21,2013-05-28,21.5,21.5,21.5,21.5,0
22,2013-05-29,21.5,21.5,21.5,21.5,0
23,2013-05-30,20.0,20.0,16.5,16.5,584
24,2013-05-31,17.5,18.75,17.5,18.75,272
25,2013-06-03,16.25,16.25,16.25,16.25,200
26,2013-06-04,16.25,16.5,13.75,16.5,600
27,2013-06-05,16.25,16.25,16.25,16.25,84
28,2013-06-06,15.0,15.0,13.75,13.75,220
29,2013-06-07,16.0,16.0,13.5,15.0,1108
30,2013-06-10,16.0,16.0,16.0,16.0,0
31,2013-06-11,15.0,15.0,13.25,13.5,984
32,2013-06-12,16.75,17.5,14.5,15.0,1604
33,2013-06-13,15.0,19.0,15.0,16.75,128
34,2013-06-14,15.0,15.0,13.75,13.75,96
35,2013-06-17,15.0,15.0,15.0,15.0,36
36,2013-06-18,11.25,16.25,11.0,16.25,1008
37,2013-06-19,12.5,12.5,12.5,12.5,48
38,2013-06-20,13.75,16.75,12.5,12.5,124
39,2013-06-21,12.5,13.0,12.5,13.0,56
40,2013-06-24,7.5,12.5,7.25,12.5,1756
41,2013-06-25,8.5,11.0,7.0,10.0,1492
42,2013-06-26,10.0,14.5,7.0,7.0,2304
43,2013-06-27,11.75,12.75,11.0,12.75,728
44,2013-06-28,10.0,12.5,9.0,12.0,1964
