,Date,Close,High,Low,Open,Volume
0,1994-08-17,5.25,5.25,5.25,5.25,1333
1,1994-08-18,5.25,5.25,5.25,5.25,0
2,1994-08-19,5.25,5.25,5.25,5.25,0
3,1994-08-22,5.25,5.25,5.25,5.25,0
4,1994-08-23,5.25,5.25,5.25,5.25,0
5,1994-08-24,5.25,5.25,5.25,5.25,0
6,1994-08-25,5.25,5.25,5.25,5.25,0
7,1994-08-26,5.25,5.25,5.25,5.25,0
8,1994-08-29,5.25,5.25,5.25,5.25,0
9,1994-08-30,5.25,5.25,5.25,5.25,0
10,1994-08-31,5.25,5.25,5.25,5.25,0
11,1994-09-01,5.25,5.25,5.25,5.25,0
12,1994-09-02,5.4375,5.4375,5.4375,5.4375,667
13,1994-09-06,5.4375,5.4375,5.4375,5.4375,0
14,1994-09-07,5.4375,5.4375,5.4375,5.4375,0
15,1994-09-08,5.0625,5.0625,5.0625,5.0625,800
16,1994-09-09,5.0625,5.0625,5.0625,5.0625,0
17,1994-09-12,5.0625,5.0625,5.0625,5.0625,0
18,1994-09-13,5.0625,5.0625,5.0625,5.0625,0
19,1994-09-14,5.0625,5.0625,5.0625,5.0625,0
20,1994-09-15,5.0625,5.0625,5.0625,5.0625,267
21,1994-09-16,5.4375,5.4375,5.4375,5.4375,133
22,1994-09-19,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,2267
23,1994-09-20,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
24,1994-09-21,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
25,1994-09-22,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
26,1994-09-23,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
27,1994-09-26,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
28,1994-09-27,5.261719226837158,5.261719226837158,5.261719226837158,5.261719226837158,0
29,1994-09-28,5.0625,5.0625,5.0625,5.0625,2667
30,1994-09-29,5.0625,5.0625,5.0625,5.0625,0
31,1994-09-30,5.25,5.4375,5.25,5.4375,533
32,1994-10-03,5.25,5.25,5.25,5.25,0
33,1994-10-04,5.25,5.25,5.25,5.25,0
34,1994-10-05,5.25,5.25,5.25,5.25,0
35,1994-10-06,5.25,5.25,5.25,5.25,0
36,1994-10-07,5.25,5.25,5.25,5.25,0
37,1994-10-10,5.0625,5.0625,5.0625,5.0625,133
38,1994-10-11,5.0625,5.0625,5.0625,5.0625,0
39,1994-10-12,5.0625,5.0625,5.0625,5.0625,667
40,1994-10-13,5.34375,5.34375,5.34375,5.34375,4000
41,1994-10-14,5.34375,5.34375,5.34375,5.34375,0
42,1994-10-17,5.4375,5.4375,5.4375,5.4375,800
43,1994-10-18,5.0625,5.0625,5.0625,5.0625,3733
44,1994-10-19,5.34375,5.34375,5.0625,5.0625,19200
45,1994-10-20,5.34375,5.34375,5.34375,5.34375,0
46,1994-10-21,5.34375,5.34375,5.34375,5.34375,0
47,1994-10-24,5.4375,5.4375,5.0625,5.0625,5333
48,1994-10-25,5.4375,5.4375,5.4375,5.4375,0
49,1994-10-26,5.4375,5.4375,5.4375,5.4375,0
50,1994-10-27,5.4375,5.4375,5.4375,5.4375,0
51,1994-10-28,5.0625,5.0625,5.0625,5.0625,1333
52,1994-10-31,5.4375,5.4375,5.0625,5.0625,2667
53,1994-11-01,5.4375,5.4375,5.4375,5.4375,0
54,1994-11-02,5.4375,5.4375,5.4375,5.4375,0
55,1994-11-03,5.4375,5.4375,5.4375,5.4375,0
56,1994-11-04,5.0625,5.0625,5.0625,5.0625,1333
57,1994-11-07,5.4375,5.4375,5.4375,5.4375,1333
58,1994-11-08,5.4375,5.4375,5.4375,5.4375,0
59,1994-11-09,5.4375,5.4375,5.4375,5.4375,0
