,Date,Close,High,Low,Open,Volume
0,2022-08-24,181900.0,230000.0,163200.0,200000.0,3
1,2022-08-25,160000.0,190540.0,160000.0,174580.0,1
2,2022-08-26,166400.0,177600.0,160000.0,160000.0,0
3,2022-08-29,143600.0,170000.0,143600.0,170000.0,2
4,2022-08-30,130200.0,145000.0,130000.0,143600.0,1
5,2022-08-31,130000.0,143000.0,126000.0,130000.0,1
6,2022-09-01,120000.0,128000.0,116160.0,126200.0,1
7,2022-09-02,126600.0,126600.0,110800.0,119200.0,1
8,2022-09-06,129800.0,134200.0,123000.0,133400.0,1
9,2022-09-07,111800.0,127600.0,111000.0,126000.0,1
10,2022-09-08,115200.0,119800.0,111000.0,111000.0,0
11,2022-09-09,118000.0,127600.0,115760.0,115760.0,0
12,2022-09-12,120400.0,125800.0,116000.0,120000.0,1
13,2022-09-13,123000.0,129800.0,119400.0,129800.0,0
14,2022-09-14,120000.0,121280.0,118000.0,120000.0,0
15,2022-09-15,119520.0,120000.0,116000.0,120000.0,0
16,2022-09-16,111740.0,116760.0,111200.0,114800.0,1
17,2022-09-19,112400.0,115400.0,110800.0,114960.0,0
18,2022-09-20,105600.0,116000.0,103000.0,112800.0,1
19,2022-09-21,107400.0,108740.0,102400.0,104000.0,0
20,2022-09-22,106780.0,110400.0,102600.0,105940.0,0
21,2022-09-23,106600.0,109800.0,102400.0,102400.0,0
22,2022-09-26,102800.0,111620.0,101040.0,102800.0,1
23,2022-09-27,93000.0,105600.0,86720.0,102800.0,6
24,2022-09-28,93600.0,100000.0,87700.0,96380.0,6
25,2022-09-29,92800.0,100000.0,86000.0,99000.0,6
26,2022-09-30,91000.0,96000.0,87000.0,89600.0,6
27,2022-10-03,86000.0,95000.0,83800.0,88800.0,3
28,2022-10-04,87400.0,93000.0,82400.0,86200.0,3
29,2022-10-05,86800.0,92100.0,83600.0,85000.0,4
30,2022-10-06,84800.0,90200.0,81000.0,84800.0,4
31,2022-10-07,77200.0,90000.0,73200.0,81000.0,4
32,2022-10-10,72000.0,80800.0,68680.0,76000.0,1
33,2022-10-11,66000.0,71620.0,62600.0,69400.0,0
34,2022-10-12,65000.0,68000.0,59880.0,68000.0,1
35,2022-10-13,59600.0,62400.0,57200.0,60800.0,1
36,2022-10-14,54000.0,60260.0,53600.0,58800.0,1
37,2022-10-17,58000.0,64000.0,50560.0,56000.0,1
38,2022-10-18,60400.0,69800.0,53500.0,69800.0,4
39,2022-10-19,65000.0,77600.0,56000.0,64800.0,6
40,2022-10-20,102400.0,149400.0,65200.0,65200.0,253
41,2022-10-21,91600.0,137600.0,81000.0,104800.0,106
42,2022-10-24,68400.0,88200.0,56200.0,88200.0,15
43,2022-10-25,61800.0,66000.0,56800.0,62800.0,12
44,2022-10-26,60600.0,65200.0,58000.0,65200.0,6
45,2022-10-27,56600.0,61000.0,51800.0,58800.0,6
46,2022-10-28,56000.0,59120.0,54500.0,55000.0,4
47,2022-10-31,55600.0,57200.0,54400.0,55000.0,3
48,2022-11-01,55000.0,59600.0,50000.0,55400.0,3
49,2022-11-02,53200.0,55800.0,51720.0,55300.0,3
50,2022-11-03,51400.0,56000.0,50200.0,54000.0,3
51,2022-11-04,51800.0,54800.0,50800.0,54800.0,3
52,2022-11-07,57200.0,67600.0,52000.0,52000.0,22
53,2022-11-08,55800.0,58000.0,51400.0,58000.0,4
54,2022-11-09,53000.0,57660.0,50600.0,56000.0,7
55,2022-11-10,57300.0,59600.0,52400.0,55800.0,5
56,2022-11-11,69000.0,69520.0,56400.0,60000.0,9
57,2022-11-14,63200.0,69800.0,62000.0,69800.0,2
58,2022-11-15,65000.0,68800.0,63800.0,65600.0,2
59,2022-11-16,65200.0,67720.0,63600.0,65000.0,1
60,2022-11-17,67200.0,70000.0,63800.0,65000.0,1
61,2022-11-18,63000.0,69200.0,62400.0,66000.0,7
62,2022-11-21,60200.0,64800.0,55400.0,62400.0,4
63,2022-11-22,59200.0,60800.0,56720.0,60800.0,0
64,2022-11-23,60800.0,62000.0,56400.0,58600.0,2
65,2022-11-25,66600.0,67800.0,57800.0,59200.0,5
66,2022-11-28,65000.0,68400.0,62140.0,68400.0,1
67,2022-11-29,58000.0,64000.0,57400.0,63400.0,2
68,2022-11-30,56600.0,59600.0,54580.0,56800.0,5
69,2022-12-01,64400.0,64400.0,56600.0,56600.0,2
70,2022-12-02,64000.0,64400.0,60000.0,64400.0,2
71,2022-12-05,64000.0,69600.0,63000.0,65000.0,3
72,2022-12-06,64600.0,69800.0,60800.0,63800.0,3
73,2022-12-07,63200.0,67000.0,62020.0,67000.0,1
74,2022-12-08,61400.0,66800.0,59600.0,63800.0,8
75,2022-12-09,59600.0,62800.0,56800.0,62800.0,8
76,2022-12-12,59600.0,62000.0,56000.0,59400.0,7
77,2022-12-13,60800.0,64000.0,58120.0,62000.0,15
78,2022-12-14,60600.0,63800.0,58100.0,60000.0,15
79,2022-12-15,60400.0,62100.0,59400.0,61600.0,15
80,2022-12-16,57400.0,62000.0,57400.0,60400.0,24
81,2022-12-19,48400.0,58600.0,47200.0,57200.0,6
82,2022-12-20,37000.0,53000.0,36380.0,49400.0,8
83,2022-12-21,31600.0,37400.0,31000.0,37400.0,8
84,2022-12-22,31800.0,32740.0,29000.0,30400.0,4
85,2022-12-23,30800.0,31800.0,30600.0,31400.0,2
86,2022-12-27,30000.0,31200.0,30000.0,30600.0,2
87,2022-12-28,30400.0,30600.0,28800.0,30000.0,2
88,2022-12-29,31400.0,31400.0,29400.0,30400.0,3
89,2022-12-30,32600.0,32600.0,30400.0,30400.0,4
90,2023-01-03,28200.0,32500.0,27600.0,32000.0,4
91,2023-01-04,28000.0,29000.0,27600.0,29000.0,2
92,2023-01-05,27000.0,28800.0,26600.0,28800.0,2
93,2023-01-06,27200.0,29000.0,26600.0,26800.0,3
94,2023-01-09,26000.0,28400.0,25800.0,27200.0,3
95,2023-01-10,26600.0,27600.0,25600.0,26800.0,4
96,2023-01-11,26800.0,27000.0,25640.0,26400.0,3
97,2023-01-12,28600.0,30600.0,27200.0,28000.0,14
98,2023-01-13,27800.0,28800.0,27000.0,28600.0,7
99,2023-01-17,27800.0,28000.0,26080.0,28000.0,5
100,2023-01-18,27000.0,28000.0,26400.0,27600.0,3
101,2023-01-19,26400.0,27000.0,25800.0,26600.0,4
102,2023-01-20,26400.0,27000.0,26000.0,26000.0,2
103,2023-01-23,27800.0,28160.0,26600.0,26600.0,6
104,2023-01-24,27000.0,27780.0,26600.0,27000.0,5
105,2023-01-25,25400.0,26760.0,24400.0,26400.0,4
106,2023-01-26,25600.0,26200.0,24600.0,25800.0,6
107,2023-01-27,26000.0,26580.0,24020.0,25800.0,6
108,2023-01-30,25600.0,26400.0,25400.0,26000.0,1
109,2023-01-31,25400.0,26000.0,25200.0,25600.0,3
110,2023-02-01,24800.0,25600.0,24200.0,25400.0,5
111,2023-02-02,24600.0,25600.0,23600.0,25600.0,7
112,2023-02-03,23400.0,26000.0,23400.0,25000.0,7
113,2023-02-06,22200.0,24200.0,21800.0,24200.0,10
114,2023-02-07,21200.0,22400.0,20600.0,22400.0,117
115,2023-02-08,18000.0,18800.0,17400.0,18800.0,50
116,2023-02-09,16760.0,17800.0,16200.0,17600.0,20
117,2023-02-10,17760.0,18800.0,15600.0,16220.0,72
118,2023-02-13,16200.0,19800.0,15600.0,18400.0,115
119,2023-02-14,14600.0,17000.0,14020.0,16400.0,43
120,2023-02-15,14400.0,15400.0,12520.0,14600.0,40
121,2023-02-16,13800.0,14800.0,13600.0,14400.0,14
122,2023-02-17,13800.0,13800.0,12800.0,13800.0,15
123,2023-02-21,12600.0,13800.0,12140.0,13600.0,10
124,2023-02-22,12980.0,14460.0,12140.0,12400.0,19
125,2023-02-23,11720.0,13000.0,11000.0,13000.0,17
126,2023-02-24,10120.0,11300.0,9740.0,11300.0,21
127,2023-02-27,9720.0,10060.0,9600.0,9800.0,11
128,2023-02-28,9820.0,10400.0,9600.0,10000.0,11
129,2023-03-01,10080.0,10200.0,9600.0,9600.0,7
130,2023-03-02,9980.0,10700.0,9260.0,10400.0,19
131,2023-03-03,9600.0,10100.0,9000.0,10000.0,11
132,2023-03-06,9860.0,10000.0,9140.0,10000.0,10
133,2023-03-07,9600.0,11000.0,9160.0,10760.0,23
134,2023-03-08,9320.0,9600.0,9020.0,9600.0,6
135,2023-03-09,8700.0,9660.0,8220.0,9200.0,8
136,2023-03-10,8000.0,9000.0,7260.0,8800.0,15
137,2023-03-13,9300.0,10000.0,7360.0,7840.0,20
138,2023-03-14,9000.0,10000.0,8960.0,10000.0,9
139,2023-03-15,8400.0,9400.0,8040.0,9200.0,5
140,2023-03-16,8780.0,9000.0,8260.0,8400.0,4
141,2023-03-17,8800.0,9400.0,8400.0,9400.0,6
142,2023-03-20,8800.0,9600.0,7800.0,8800.0,9
143,2023-03-21,8400.0,9000.0,7420.0,8780.0,6
144,2023-03-22,8300.0,8460.0,8040.0,8400.0,5
145,2023-03-23,8640.0,8800.0,8200.0,8400.0,3
146,2023-03-24,8600.0,9200.0,8200.0,8600.0,6
147,2023-03-27,9000.0,9600.0,8400.0,8600.0,4
148,2023-03-28,9780.0,9900.0,9000.0,9620.0,5
149,2023-03-29,9200.0,9600.0,8200.0,9400.0,5
