,Date,Close,High,Low,Open,Volume
0,2012-12-27,45.0,45.0,42.599998474121094,42.599998474121094,167
1,2012-12-28,45.0,45.0,45.0,45.0,0
2,2012-12-31,45.0,45.0,45.0,45.0,0
3,2013-01-02,45.0,45.0,45.0,45.0,0
4,2013-01-03,45.0,45.0,45.0,45.0,0
5,2013-01-04,45.0,45.0,45.0,45.0,0
6,2013-01-07,45.0,45.0,45.0,45.0,0
7,2013-01-08,45.0,45.0,45.0,45.0,0
8,2013-01-09,45.0,45.0,45.0,45.0,0
9,2013-01-10,45.0,45.0,45.0,45.0,0
10,2013-01-11,45.0,45.0,45.0,45.0,0
11,2013-01-14,45.0,45.0,45.0,45.0,0
12,2013-01-15,45.0,45.0,45.0,45.0,0
13,2013-01-16,45.0,45.0,45.0,45.0,0
14,2013-01-17,45.0,45.0,45.0,45.0,0
15,2013-01-18,45.0,45.0,45.0,45.0,0
16,2013-01-22,45.0,45.0,45.0,45.0,0
17,2013-01-23,45.0,45.0,45.0,45.0,0
18,2013-01-24,45.0,45.0,45.0,45.0,0
19,2013-01-25,45.0,45.0,45.0,45.0,0
20,2013-01-28,45.0,45.0,45.0,45.0,0
21,2013-01-29,45.0,45.0,45.0,45.0,0
22,2013-01-30,45.0,45.0,45.0,45.0,0
23,2013-01-31,45.0,45.0,45.0,45.0,0
24,2013-02-01,45.0,45.0,45.0,45.0,0
25,2013-02-04,45.0,45.0,45.0,45.0,0
26,2013-02-05,45.0,45.0,45.0,45.0,0
27,2013-02-06,45.0,45.0,45.0,45.0,0
28,2013-02-07,45.0,45.0,45.0,45.0,0
29,2013-02-08,45.0,45.0,45.0,45.0,0
30,2013-02-11,45.0,45.0,45.0,45.0,0
31,2013-02-12,45.0,45.0,45.0,45.0,0
32,2013-02-13,45.0,45.0,45.0,45.0,0
33,2013-02-14,45.0,45.0,45.0,45.0,0
34,2013-02-15,45.0,45.0,45.0,45.0,0
35,2013-02-19,45.0,45.0,45.0,45.0,0
36,2013-02-20,45.0,45.0,45.0,45.0,0
37,2013-02-21,45.0,45.0,45.0,45.0,0
38,2013-02-22,45.0,45.0,45.0,45.0,0
39,2013-02-25,45.0,45.0,45.0,45.0,0
40,2013-02-26,45.0,45.0,45.0,45.0,0
41,2013-02-27,45.0,45.0,45.0,45.0,0
42,2013-02-28,45.0,45.0,45.0,45.0,0
43,2013-03-01,45.0,45.0,45.0,45.0,0
44,2013-03-04,45.0,45.0,45.0,45.0,0
45,2013-03-05,45.0,45.0,45.0,45.0,0
46,2013-03-06,45.0,45.0,45.0,45.0,0
47,2013-03-07,45.0,45.0,45.0,45.0,0
48,2013-03-08,45.0,45.0,45.0,45.0,0
49,2013-03-11,45.0,45.0,45.0,45.0,0
50,2013-03-12,45.0,45.0,45.0,45.0,0
51,2013-03-13,45.0,45.0,45.0,45.0,0
52,2013-03-14,45.0,45.0,45.0,45.0,0
53,2013-03-15,45.0,45.0,45.0,45.0,0
54,2013-03-18,90.0,90.0,60.0,75.0,393
55,2013-03-19,150.0,150.0,105.30000305175781,105.30000305175781,137
56,2013-03-20,225.0,225.0,179.6999969482422,180.60000610351562,457
57,2013-03-21,225.0,232.5,225.0,232.5,43
58,2013-03-22,225.0,225.0,225.0,225.0,0
59,2013-03-25,209.6999969482422,217.5,209.6999969482422,217.5,37
60,2013-03-26,209.6999969482422,209.6999969482422,209.6999969482422,209.6999969482422,0
61,2013-03-27,195.0,202.5,195.0,202.5,33
62,2013-03-28,177.0,186.0,177.0,186.0,450
63,2013-04-01,150.0,162.0,150.0,162.0,50
64,2013-04-02,150.0,150.0,150.0,150.0,0
65,2013-04-03,156.0,177.0,141.0,141.0,643
66,2013-04-04,156.0,156.0,156.0,156.0,33
67,2013-04-05,156.0,156.0,156.0,156.0,0
68,2013-04-08,135.0,144.3000030517578,135.0,144.3000030517578,100
69,2013-04-09,134.6999969482422,134.6999969482422,134.6999969482422,134.6999969482422,33
70,2013-04-10,148.5,148.5,127.5,127.5,117
71,2013-04-11,148.5,148.5,148.5,148.5,0
72,2013-04-12,127.5,127.5,127.5,127.5,33
73,2013-04-15,127.5,127.5,127.5,127.5,0
74,2013-04-16,129.0,129.0,129.0,129.0,20
75,2013-04-17,135.0,135.0,129.0,129.0,53
76,2013-04-18,180.0,187.5,166.5,168.0,120
77,2013-04-19,169.5,169.5,168.0,168.0,43
78,2013-04-22,135.0,169.1999969482422,135.0,135.0,350
79,2013-04-23,135.0,135.0,135.0,135.0,0
80,2013-04-24,135.0,135.0,135.0,135.0,0
81,2013-04-25,156.0,156.0,156.0,156.0,10
82,2013-04-26,156.0,156.0,156.0,156.0,183
83,2013-04-29,150.0,157.5,150.0,157.5,153
84,2013-04-30,150.0,150.0,150.0,150.0,0
85,2013-05-01,150.0,150.0,150.0,150.0,0
86,2013-05-02,150.0,150.0,150.0,150.0,0
87,2013-05-03,135.0,144.0,135.0,144.0,83
88,2013-05-06,135.0,135.0,135.0,135.0,0
89,2013-05-07,135.0,135.0,135.0,135.0,0
90,2013-05-08,135.0,135.0,135.0,135.0,0
91,2013-05-09,130.5,130.5,112.5,129.0,860
92,2013-05-10,118.5,118.5,91.80000305175781,115.5,263
93,2013-05-13,118.5,118.5,118.5,118.5,30
94,2013-05-14,118.5,118.5,118.5,118.5,0
95,2013-05-15,118.5,118.5,118.5,118.5,7
96,2013-05-16,117.0,118.5,117.0,117.0,247
97,2013-05-17,115.5,115.5,115.5,115.5,33
98,2013-05-20,117.0,117.0,113.69999694824219,117.0,100
99,2013-05-21,114.9000015258789,114.9000015258789,114.9000015258789,114.9000015258789,3
100,2013-05-22,117.0,118.5,114.9000015258789,114.9000015258789,217
101,2013-05-23,117.0,117.0,117.0,117.0,0
102,2013-05-24,116.0999984741211,116.0999984741211,116.0999984741211,116.0999984741211,17
103,2013-05-28,105.0,105.0,105.0,105.0,67
104,2013-05-29,105.0,105.0,105.0,105.0,0
105,2013-05-30,104.4000015258789,104.4000015258789,93.0,104.4000015258789,90
106,2013-05-31,93.0,113.69999694824219,93.0,104.69999694824219,277
107,2013-06-03,93.0,93.0,93.0,93.0,0
108,2013-06-04,93.0,93.0,93.0,93.0,0
109,2013-06-05,93.0,93.0,93.0,93.0,0
110,2013-06-06,103.5,103.5,103.5,103.5,20
111,2013-06-07,103.5,103.5,103.5,103.5,0
112,2013-06-10,103.5,103.5,103.5,103.5,0
113,2013-06-11,102.0,102.9000015258789,102.0,102.0,133
114,2013-06-12,105.0,105.0,90.0,100.5,270
115,2013-06-13,102.0,102.0,102.0,102.0,20
116,2013-06-14,102.0,102.0,102.0,102.0,0
117,2013-06-17,102.0,102.0,102.0,102.0,0
118,2013-06-18,102.0,102.0,93.0,93.0,40
119,2013-06-19,102.0,102.0,102.0,102.0,57
120,2013-06-20,96.0,96.0,96.0,96.0,3
121,2013-06-21,94.5,94.5,94.5,94.5,33
122,2013-06-24,94.5,94.5,94.5,94.5,0
123,2013-06-25,96.0,101.69999694824219,94.5,94.5,157
124,2013-06-26,96.0,96.0,96.0,96.0,0
125,2013-06-27,94.5,94.5,94.19999694824219,94.19999694824219,33
126,2013-06-28,94.5,94.5,94.5,94.5,30
127,2013-07-01,94.5,94.5,94.5,94.5,0
128,2013-07-02,94.5,94.5,94.5,94.5,7
129,2013-07-03,94.5,94.5,94.5,94.5,27
130,2013-07-05,96.0,96.0,96.0,96.0,3
131,2013-07-08,96.0,96.0,96.0,96.0,0
132,2013-07-09,96.0,96.0,96.0,96.0,33
133,2013-07-10,105.0,105.0,96.0,96.0,117
134,2013-07-11,99.0,99.0,99.0,99.0,33
135,2013-07-12,101.0999984741211,101.0999984741211,101.0999984741211,101.0999984741211,17
136,2013-07-15,101.0999984741211,101.0999984741211,101.0999984741211,101.0999984741211,0
137,2013-07-16,101.0999984741211,101.0999984741211,101.0999984741211,101.0999984741211,0
138,2013-07-17,102.0,102.0,101.0999984741211,101.0999984741211,63
139,2013-07-18,102.0,102.0,102.0,102.0,37
140,2013-07-19,102.0,102.0,102.0,102.0,0
141,2013-07-22,102.0,102.0,102.0,102.0,0
142,2013-07-23,102.0,102.0,102.0,102.0,0
143,2013-07-24,102.0,102.0,102.0,102.0,0
144,2013-07-25,102.0,102.0,102.0,102.0,0
145,2013-07-26,102.0,102.0,102.0,102.0,7
146,2013-07-29,108.0,135.0,99.0,99.0,113
147,2013-07-30,114.0,114.0,108.0,108.0,63
148,2013-07-31,114.0,114.0,114.0,114.0,0
149,2013-08-01,114.0,114.0,114.0,114.0,0
150,2013-08-02,112.5,112.5,112.5,112.5,17
151,2013-08-05,112.5,112.5,112.5,112.5,0
152,2013-08-06,112.5,112.5,112.5,112.5,0
153,2013-08-07,108.0,108.0,108.0,108.0,20
154,2013-08-08,108.0,108.0,108.0,108.0,0
155,2013-08-09,108.0,108.0,108.0,108.0,0
156,2013-08-12,108.0,108.0,108.0,108.0,0
157,2013-08-13,108.0,108.0,108.0,108.0,0
158,2013-08-14,108.0,108.0,108.0,108.0,0
159,2013-08-15,108.0,108.0,108.0,108.0,0
160,2013-08-16,108.0,108.0,108.0,108.0,0
161,2013-08-19,100.5,100.5,100.5,100.5,3
162,2013-08-20,100.5,100.5,100.5,100.5,0
163,2013-08-21,130.5,130.5,93.0,94.5,143
164,2013-08-22,130.5,130.5,130.5,130.5,0
165,2013-08-23,138.0,138.0,102.0,102.0,637
166,2013-08-26,138.0,138.0,138.0,138.0,167
167,2013-08-27,138.0,138.0,138.0,138.0,0
168,2013-08-28,138.0,138.0,138.0,138.0,0
169,2013-08-29,120.0,129.0,108.30000305175781,129.0,217
170,2013-08-30,108.0,108.0,108.0,108.0,97
171,2013-09-03,115.5,115.5,108.0,108.0,267
172,2013-09-04,118.5,118.5,115.5,115.5,117
173,2013-09-05,120.0,120.0,117.5999984741211,118.5,80
174,2013-09-06,120.0,120.0,120.0,120.0,0
175,2013-09-09,118.5,118.5,118.5,118.5,53
176,2013-09-10,115.5,118.5,115.5,118.5,50
177,2013-09-11,114.0,115.5,114.0,115.5,20
178,2013-09-12,112.80000305175781,112.80000305175781,112.80000305175781,112.80000305175781,13
179,2013-09-13,117.0,117.0,113.0999984741211,114.5999984741211,217
180,2013-09-16,117.0,117.0,117.0,117.0,100
181,2013-09-17,147.0,149.6999969482422,120.0,120.0,803
182,2013-09-18,160.8000030517578,164.6999969482422,123.0,147.0,763
183,2013-09-19,165.0,165.60000610351562,154.8000030517578,160.8000030517578,330
184,2013-09-20,165.0,165.0,165.0,165.0,0
185,2013-09-23,166.1999969482422,166.1999969482422,163.5,163.5,123
186,2013-09-24,172.5,172.5,166.5,166.5,217
187,2013-09-25,172.5,172.5,172.5,172.5,7
188,2013-09-26,187.5,187.5,172.5,172.5,227
189,2013-09-27,192.0,192.0,187.5,187.5,170
190,2013-09-30,190.5,190.5,190.5,190.5,33
191,2013-10-01,192.0,192.0,192.0,192.0,17
192,2013-10-02,183.0,183.0,183.0,183.0,17
193,2013-10-03,184.5,186.0,183.0,183.0,440
194,2013-10-04,184.5,184.5,184.5,184.5,0
195,2013-10-07,180.0,186.0,180.0,186.0,143
196,2013-10-08,178.5,178.5,178.5,178.5,30
197,2013-10-09,165.0,165.0,165.0,165.0,27
198,2013-10-10,165.0,165.0,165.0,165.0,20
199,2013-10-11,163.5,163.8000030517578,163.5,163.8000030517578,20
200,2013-10-14,154.5,165.0,154.5,165.0,80
201,2013-10-15,162.0,162.0,162.0,162.0,3
202,2013-10-16,163.5,163.5,159.0,163.5,83
203,2013-10-17,156.89999389648438,157.5,153.0,157.5,243
204,2013-10-18,157.5,157.5,157.5,157.5,40
205,2013-10-21,156.0,165.0,156.0,165.0,90
206,2013-10-22,157.5,157.5,150.0,153.0,80
207,2013-10-23,150.0,150.3000030517578,148.5,150.3000030517578,70
208,2013-10-24,150.0,150.0,150.0,150.0,30
209,2013-10-25,150.0,150.0,150.0,150.0,0
210,2013-10-28,150.0,150.0,150.0,150.0,73
211,2013-10-29,150.0,157.5,145.8000030517578,150.0,387
212,2013-10-30,135.0,157.5,135.0,150.0,90
213,2013-10-31,145.5,150.0,141.0,141.0,67
214,2013-11-01,141.0,141.3000030517578,141.0,141.0,23
215,2013-11-04,141.0,141.0,141.0,141.0,0
216,2013-11-05,150.0,150.0,145.5,150.0,43
217,2013-11-06,142.5,143.39999389648438,142.5,143.39999389648438,100
218,2013-11-07,142.5,142.5,142.5,142.5,3
219,2013-11-08,142.5,142.5,142.5,142.5,0
220,2013-11-11,145.5,150.0,142.5,142.5,73
221,2013-11-12,138.0,141.0,138.0,141.0,147
222,2013-11-13,129.0,135.0,129.0,135.0,7
223,2013-11-14,175.5,192.0,129.60000610351562,129.60000610351562,503
224,2013-11-15,189.0,194.6999969482422,180.0,180.0,387
225,2013-11-18,193.8000030517578,195.0,189.0,189.0,373
226,2013-11-19,193.5,194.6999969482422,193.5,194.6999969482422,63
227,2013-11-20,192.3000030517578,192.3000030517578,189.0,192.0,293
228,2013-11-21,186.0,193.5,186.0,193.5,210
229,2013-11-22,178.5,186.0,178.5,186.0,110
230,2013-11-25,172.5,187.5,165.0,184.5,2073
231,2013-11-26,207.0,217.5,186.0,186.0,1927
232,2013-11-27,209.10000610351562,216.0,207.0,216.0,1700
233,2013-11-29,212.6999969482422,212.6999969482422,210.0,210.0,777
234,2013-12-02,213.0,213.0,212.6999969482422,213.0,1207
235,2013-12-03,219.0,219.0,213.0,214.5,1623
236,2013-12-04,222.0,222.3000030517578,219.0,220.5,2123
237,2013-12-05,223.5,223.8000030517578,221.6999969482422,222.3000030517578,1183
238,2013-12-06,223.1999969482422,223.5,222.3000030517578,223.5,773
239,2013-12-09,225.0,237.3000030517578,225.0,237.3000030517578,440
240,2013-12-10,232.5,234.0,225.0,225.0,410
241,2013-12-11,217.5,222.60000610351562,217.5,222.60000610351562,517
242,2013-12-12,211.5,220.5,211.5,219.0,843
243,2013-12-13,208.5,217.5,208.5,217.5,373
244,2013-12-16,201.0,207.0,201.0,207.0,50
245,2013-12-17,192.0,210.0,192.0,210.0,277
246,2013-12-18,189.0,192.0,187.5,192.0,167
247,2013-12-19,189.0,189.0,135.0,151.5,440
248,2013-12-20,171.60000610351562,180.0,171.60000610351562,180.0,317
249,2013-12-23,157.8000030517578,166.5,157.5,166.5,570
250,2013-12-24,159.0,160.5,157.5,157.8000030517578,573
251,2013-12-26,159.3000030517578,159.3000030517578,159.3000030517578,159.3000030517578,20
