,Date,Close,High,Low,Open,Volume
0,2021-02-17,1419.5,1738.25,1232.5,1700.0,2684
1,2021-02-18,1270.75,1445.0,1236.75,1445.0,967
2,2021-02-19,1304.75,1326.0,1173.0,1321.75,610
3,2021-02-22,1296.25,1487.5,1232.5,1296.25,1454
4,2021-02-23,1321.75,1364.25,1147.5,1296.25,705
5,2021-02-24,1525.75,1615.0,1281.375,1296.25,1147
6,2021-02-25,1564.0,1636.25,1449.25,1602.25,1631
7,2021-02-26,1474.75,1938.0,1453.5,1534.25,15118
8,2021-03-01,1389.75,1521.5,1385.5,1445.0,1332
9,2021-03-02,1445.0,1470.5,1385.5,1411.0,820
10,2021-03-03,1381.25,1564.0,1381.25,1445.0,970
11,2021-03-04,1190.0,1377.0,1153.875,1377.0,636
12,2021-03-05,1258.0,1270.75,1062.5,1215.5,723
13,2021-03-08,1228.25,1287.75,1228.25,1258.0,176
14,2021-03-09,1194.25,1309.0,1177.25,1258.0,312
15,2021-03-10,1326.0,1355.75,1215.5,1245.25,368
16,2021-03-11,1270.75,1326.0,1270.75,1326.0,160
17,2021-03-12,1331.949951171875,1346.4000244140625,1241.425048828125,1283.5,320
18,2021-03-15,1343.0,1385.5,1313.25,1360.0,640
19,2021-03-16,1330.25,1398.25,1296.25,1372.75,331
20,2021-03-17,1326.0,1338.75,1275.0,1334.5,104
21,2021-03-18,1360.0,1496.0,1317.5,1330.25,842
22,2021-03-19,1406.75,1428.0,1360.0,1372.75,237
23,2021-03-22,1351.5,1419.5,1343.0,1419.5,131
24,2021-03-23,1309.0,1377.0,1296.25,1377.0,121
25,2021-03-24,1406.75,1457.75,1285.625,1304.75,449
26,2021-03-25,1343.0,1372.75,1300.5,1372.75,160
27,2021-03-26,1326.0,1377.0,1313.25,1334.5,54
28,2021-03-29,1258.0,1321.75,1190.0,1313.25,160
29,2021-03-30,1232.5,1285.625,1226.550048828125,1262.25,51
30,2021-03-31,1330.25,1402.5,1217.625,1236.75,376
31,2021-04-01,1364.25,1369.3499755859375,1334.5,1334.5,57
32,2021-04-05,1351.5,1377.0,1283.5,1377.0,65
33,2021-04-06,1309.0,1368.5,1296.25,1368.5,57
34,2021-04-07,1289.875,1317.5,1275.0,1308.1500244140625,60
35,2021-04-08,1296.25,1313.25,1249.5,1262.25,90
36,2021-04-09,1296.25,1360.0,1275.0,1287.75,81
37,2021-04-12,1258.0,1317.5,1253.324951171875,1283.5,87
38,2021-04-13,1198.5,1270.75,1190.0,1270.75,108
39,2021-04-14,1168.75,1198.5,1134.75,1198.5,109
40,2021-04-15,1156.0,1202.75,1100.75,1194.25,109
41,2021-04-16,1122.0,1151.75,1020.0,1147.5,308
