,Date,Close,High,Low,Open,Volume
0,1973-02-21,5.723360538482666,5.723360538482666,5.723360538482666,0.0,6400
1,1973-02-22,5.882344722747803,5.882344722747803,5.882344722747803,0.0,4800
2,1973-02-23,5.643871307373047,5.643871307373047,5.643871307373047,0.0,4400
3,1973-02-26,5.405397415161133,5.405397415161133,5.405397415161133,0.0,6600
4,1973-02-27,5.246415138244629,5.246415138244629,5.246415138244629,0.0,1400
5,1973-02-28,5.246415138244629,5.246415138244629,5.246415138244629,0.0,1800
6,1973-03-01,5.166924953460693,5.166924953460693,5.166924953460693,0.0,1200
7,1973-03-02,5.166924953460693,5.166924953460693,5.166924953460693,0.0,7400
8,1973-03-05,5.166924953460693,5.166924953460693,5.166924953460693,0.0,4800
9,1973-03-06,5.12717866897583,5.12717866897583,5.12717866897583,0.0,3800
10,1973-03-07,5.405397415161133,5.405397415161133,5.405397415161133,0.0,3400
11,1973-03-08,5.405397415161133,5.405397415161133,5.405397415161133,0.0,1800
12,1973-03-09,5.325906276702881,5.325906276702881,5.325906276702881,0.0,1400
13,1973-03-12,5.405397415161133,5.405397415161133,5.405397415161133,0.0,1600
14,1973-03-13,5.405397415161133,5.405397415161133,5.405397415161133,0.0,400
15,1973-03-14,5.484888076782227,5.484888076782227,5.484888076782227,0.0,800
16,1973-03-15,5.246415138244629,5.246415138244629,5.246415138244629,0.0,2600
17,1973-03-16,4.848958969116211,4.848958969116211,4.848958969116211,0.0,7000
18,1973-03-19,5.007941246032715,5.007941246032715,5.007941246032715,0.0,1400
19,1973-03-20,4.928451061248779,4.928451061248779,4.928451061248779,0.0,200
20,1973-03-21,4.928451061248779,4.928451061248779,4.928451061248779,0.0,3400
21,1973-03-22,4.451504230499268,4.451504230499268,4.451504230499268,0.0,19400
22,1973-03-23,4.928451061248779,4.928451061248779,4.928451061248779,0.0,19000
23,1973-03-26,5.007941246032715,5.007941246032715,5.007941246032715,0.0,5600
24,1973-03-27,4.968196868896484,4.968196868896484,4.968196868896484,0.0,800
25,1973-03-28,4.968196868896484,4.968196868896484,4.968196868896484,0.0,2000
26,1973-03-29,4.928451061248779,4.928451061248779,4.928451061248779,0.0,13200
27,1973-03-30,4.928451061248779,4.928451061248779,4.928451061248779,0.0,6600
28,1973-04-02,4.888705253601074,4.888705253601074,4.888705253601074,0.0,3000
29,1973-04-03,4.888705253601074,4.888705253601074,4.888705253601074,0.0,6600
30,1973-04-04,4.888705253601074,4.888705253601074,4.888705253601074,0.0,200
31,1973-04-05,4.888705253601074,4.888705253601074,4.888705253601074,0.0,3200
32,1973-04-06,4.968196868896484,4.968196868896484,4.968196868896484,0.0,2400
33,1973-04-09,4.968196868896484,4.968196868896484,4.968196868896484,0.0,2800
34,1973-04-10,4.968196868896484,4.968196868896484,4.968196868896484,0.0,1000
35,1973-04-11,4.928451061248779,4.928451061248779,4.928451061248779,0.0,1800
36,1973-04-12,4.928451061248779,4.928451061248779,4.928451061248779,0.0,6400
37,1973-04-13,4.968196868896484,4.968196868896484,4.968196868896484,0.0,1000
38,1973-04-16,4.928451061248779,4.928451061248779,4.928451061248779,0.0,800
39,1973-04-17,4.928451061248779,4.928451061248779,4.928451061248779,0.0,2200
40,1973-04-18,4.928451061248779,4.928451061248779,4.928451061248779,0.0,1000
41,1973-04-19,4.968196868896484,4.968196868896484,4.968196868896484,0.0,1000
42,1973-04-23,4.928451061248779,4.928451061248779,4.928451061248779,0.0,2800
43,1973-04-24,4.928451061248779,4.928451061248779,4.928451061248779,0.0,2400
44,1973-04-25,4.928451061248779,4.928451061248779,4.928451061248779,0.0,5400
45,1973-04-26,4.928451061248779,4.928451061248779,4.928451061248779,0.0,2200
46,1973-04-27,4.928451061248779,4.928451061248779,4.928451061248779,0.0,4800
47,1973-04-30,4.928451061248779,4.928451061248779,4.928451061248779,0.0,7800
48,1973-05-01,4.968196868896484,4.968196868896484,4.968196868896484,0.0,4400
49,1973-05-02,4.928451061248779,4.928451061248779,4.928451061248779,0.0,12800
50,1973-05-03,5.087433815002441,5.087433815002441,4.928451508283615,0.0,2200
51,1973-05-04,4.928451061248779,5.0874333535471274,4.928451061248779,0.0,1600
52,1973-05-07,4.928451061248779,4.968196634323367,4.928451061248779,0.0,1200
53,1973-05-08,4.888705253601074,4.9284508247685626,4.888705253601074,0.0,3000
54,1973-05-09,4.928451061248779,4.968196634323367,4.8887054881741925,0.0,8600
55,1973-05-10,5.286160945892334,5.325906516914081,4.888705235674865,0.0,16400
56,1973-05-11,5.325906276702881,5.405397415161133,5.087432861328125,0.0,17000
57,1973-05-14,5.087433815002441,5.325907275080681,5.087433815002441,0.0,2400
58,1973-05-15,4.968196868896484,5.047688018798828,4.9284512939453125,0.0,5400
59,1973-05-16,5.04768705368042,5.04768705368042,5.04768705368042,0.0,1200
60,1973-05-17,4.928451061248779,4.968196634323367,4.928451061248779,0.0,1200
61,1973-05-18,4.968196868896484,5.007942443847656,4.9284512939453125,0.0,2600
62,1973-05-21,4.610486030578613,4.848959445953369,4.610486030578613,0.0,5200
63,1973-05-22,4.570740222930908,4.769468058710513,4.570740222930908,0.0,5400
64,1973-05-23,4.570740222930908,4.65023135724275,4.570740222930908,0.0,2400
65,1973-05-24,4.372013092041016,4.650232106989081,4.372013092041016,0.0,3000
66,1973-05-25,3.497610569000244,3.497610569000244,3.338628270409324,0.0,19400
67,1973-05-29,3.775829792022705,3.815575368780839,3.6565930617483042,0.0,12200
68,1973-05-30,3.53735613822937,3.855320734924145,3.53735613822937,0.0,8600
69,1973-05-31,3.736083984375,3.736083984375,3.5373561128656914,0.0,5000
70,1973-06-01,3.736083984375,3.736083984375,3.736083984375,0.0,800
71,1973-06-04,3.736083984375,3.736083984375,3.577101687167553,0.0,2200
72,1973-06-05,3.6565935611724854,3.6565935611724854,3.6565935611724854,0.0,800
73,1973-06-06,3.497610569000244,3.6565928675911645,3.497610569000244,0.0,1800
74,1973-06-07,3.577101230621338,3.577101230621338,3.497610092163086,0.0,4200
75,1973-06-08,3.6565935611724854,3.6565935611724854,3.616847978985828,0.0,600
76,1973-06-11,3.6565935611724854,3.696339143359143,3.616847978985828,0.0,2400
77,1973-06-12,3.736083984375,3.736083984375,3.577101687167553,0.0,1600
78,1973-06-13,3.696337938308716,3.696337938308716,3.696337938308716,0.0,1000
79,1973-06-14,3.696337938308716,3.736083507537842,3.696337938308716,0.0,1200
80,1973-06-15,3.696337938308716,3.696337938308716,3.65659236907959,0.0,1600
81,1973-06-18,3.6565935611724854,3.6565935611724854,3.5771023967991704,0.0,800
82,1973-06-19,3.577101230621338,3.577101230621338,3.577101230621338,0.0,600
83,1973-06-20,3.6565935611724854,3.6565935611724854,3.6565935611724854,0.0,400
84,1973-06-21,3.497610569000244,3.6168472929434343,3.378373845057054,0.0,4400
85,1973-06-22,3.378373861312866,3.6565928851856904,3.378373861312866,0.0,4200
86,1973-06-25,3.259136438369751,3.4578642699776623,3.259136438369751,0.0,2000
87,1973-06-26,3.1796462535858154,3.259137409925461,3.1796462535858154,0.0,1600
88,1973-06-27,3.259136438369751,3.41811870365608,3.259136438369751,0.0,3600
89,1973-06-28,3.378373861312866,3.378373861312866,3.298882711634916,0.0,6600
90,1973-06-29,3.9745571613311768,4.014302732944489,3.457864730358124,0.0,6600
91,1973-07-02,4.252777099609375,4.292522679979556,4.014303617388289,0.0,9000
92,1973-07-03,4.689976692199707,4.689976692199707,4.173284344753976,0.0,13000
93,1973-07-05,4.411758899688721,4.809214656417435,4.411758899688721,0.0,4200
94,1973-07-06,4.173285007476807,4.372012864975702,4.133539435977028,0.0,4600
95,1973-07-09,4.13353967666626,4.13353967666626,3.974557381409865,0.0,1800
96,1973-07-10,4.2130303382873535,4.2130303382873535,4.1732847690582275,0.0,5000
97,1973-07-11,4.372013092041016,4.451504239169035,4.292521944912997,0.0,2000
