,Date,Close,High,Low,Open,Volume
0,2018-08-21,3690.0,4044.0,3420.0,3600.0,455
1,2018-08-22,3780.0,3930.0,3708.0,3864.0,76
2,2018-08-23,3810.0,4074.0,3780.0,4074.0,46
3,2018-08-24,3816.0,3960.0,3780.0,3948.0,50
4,2018-08-27,3690.0,3900.0,3600.0,3900.0,59
5,2018-08-28,3582.0,3654.0,3240.0,3630.0,52
6,2018-08-29,3750.0,3900.0,3546.0,3654.0,136
7,2018-08-30,3702.0,3894.0,3666.0,3840.0,38
8,2018-08-31,3720.0,3738.0,3690.0,3738.0,27
9,2018-09-04,3774.0,3810.0,3732.0,3750.0,35
10,2018-09-05,3804.0,3810.0,3750.0,3750.0,53
11,2018-09-06,3900.0,3900.0,3840.0,3900.0,25
12,2018-09-07,3930.0,4080.0,3888.0,4080.0,23
13,2018-09-10,4200.0,4230.0,3912.0,4194.0,27
14,2018-09-11,4590.0,4770.0,4236.0,4236.0,134
15,2018-09-12,4674.0,4800.0,4518.0,4800.0,42
16,2018-09-13,4410.0,4770.0,3930.0,4770.0,60
17,2018-09-14,4344.0,4404.0,4200.0,4368.0,9
18,2018-09-17,4218.0,4482.0,4056.0,4404.0,14
19,2018-09-18,4404.0,4716.0,4182.0,4200.0,53
20,2018-09-19,4428.0,4620.0,4320.0,4620.0,14
21,2018-09-20,4530.0,4800.0,4356.0,4422.0,45
22,2018-09-21,4194.0,6000.0,3750.0,6000.0,11
23,2018-09-24,3954.0,4794.0,3900.0,4266.0,41
24,2018-09-25,3786.0,4200.0,3306.0,3924.0,29
25,2018-09-26,3918.0,4170.0,3744.0,3762.0,9
26,2018-09-27,4950.0,5184.0,3804.0,4104.0,117
27,2018-09-28,4776.0,5100.0,4344.0,5100.0,35
28,2018-10-01,4584.0,5100.0,4566.0,4740.0,11
29,2018-10-02,4578.0,4764.0,4380.0,4458.0,12
30,2018-10-03,4356.0,4428.0,4356.0,4398.0,7
31,2018-10-04,4098.0,4386.0,4050.0,4236.0,26
32,2018-10-05,4104.0,4122.0,4050.0,4050.0,13
33,2018-10-08,3918.0,4200.0,3900.0,3900.0,21
34,2018-10-09,4164.0,4194.0,3900.0,4050.0,29
35,2018-10-10,3948.0,4260.0,3900.0,4260.0,19
36,2018-10-11,4062.0,4062.0,3900.0,3900.0,7
37,2018-10-12,4170.0,4380.0,3900.0,4380.0,3
38,2018-10-15,3918.0,4110.0,3918.0,4110.0,1
39,2018-10-16,4044.0,4050.0,3978.0,4050.0,1
40,2018-10-17,4170.0,4194.0,3930.0,4194.0,9
41,2018-10-18,4140.0,4182.0,4140.0,4182.0,1
42,2018-10-19,4176.0,4200.0,3900.0,4086.0,18
43,2018-10-22,3942.0,4200.0,3900.0,4092.0,7
44,2018-10-23,3780.0,4026.0,3780.0,3822.0,44
45,2018-10-24,3750.0,3852.0,3750.0,3810.0,8
46,2018-10-25,3900.0,3900.0,3750.0,3810.0,6
47,2018-10-26,3828.0,4020.0,3780.0,4020.0,8
48,2018-10-29,4080.0,4194.0,3840.0,3840.0,17
49,2018-10-30,4080.0,4080.0,4080.0,4080.0,0
50,2018-10-31,3870.0,4050.0,3870.0,4050.0,2
51,2018-11-01,4032.0,4032.0,4032.0,4032.0,1
52,2018-11-02,4182.0,4182.0,3990.0,3990.0,1
53,2018-11-05,4272.0,4440.0,4260.0,4302.0,12
54,2018-11-06,4434.0,4620.0,4356.0,4494.0,5
55,2018-11-07,4314.0,4500.0,4260.0,4452.0,10
56,2018-11-08,4170.0,4350.0,4080.0,4314.0,13
57,2018-11-09,4110.0,4134.0,3756.0,3756.0,2
58,2018-11-12,4182.0,4482.0,3906.0,4200.0,8
59,2018-11-13,4170.0,4230.0,3990.0,4230.0,4
60,2018-11-14,4194.0,4194.0,4020.0,4020.0,1
61,2018-11-15,4212.0,4212.0,4134.0,4134.0,7
62,2018-11-16,4320.0,4350.0,4098.0,4098.0,5
63,2018-11-19,4206.0,4494.0,4050.0,4494.0,5
64,2018-11-20,4164.0,4182.0,4164.0,4182.0,1
65,2018-11-21,4080.0,4152.0,4068.0,4152.0,1
66,2018-11-23,4080.0,4080.0,4080.0,4080.0,0
67,2018-11-26,3900.0,4218.0,3900.0,4080.0,3
68,2018-11-27,3972.0,4200.0,3900.0,3900.0,9
69,2018-11-28,4230.0,4230.0,3918.0,4086.0,8
70,2018-11-29,4290.0,4290.0,4290.0,4290.0,1
71,2018-11-30,4194.0,4260.0,4080.0,4260.0,2
72,2018-12-03,4194.0,4194.0,4140.0,4170.0,3
73,2018-12-04,4080.0,4092.0,3960.0,4092.0,1
74,2018-12-06,3900.0,4080.0,3900.0,3978.0,2
75,2018-12-07,3906.0,3966.0,3906.0,3966.0,2
76,2018-12-10,3900.0,4002.0,3900.0,4002.0,3
77,2018-12-11,3894.0,3900.0,3894.0,3894.0,2
78,2018-12-12,3900.0,3900.0,3834.0,3900.0,5
79,2018-12-13,3900.0,3900.0,3900.0,3900.0,0
80,2018-12-14,3870.0,3906.0,3840.0,3906.0,60
81,2018-12-17,4056.0,4800.0,3900.0,3900.0,27
82,2018-12-18,4134.0,4470.0,4134.0,4470.0,28
83,2018-12-19,3906.0,4350.0,3906.0,4170.0,50
84,2018-12-20,3930.0,4320.0,3930.0,4050.0,37
85,2018-12-21,3072.0,4008.0,3030.0,3900.0,42
86,2018-12-24,3060.0,3336.0,3060.0,3336.0,4
87,2018-12-26,3000.0,3408.0,2556.0,3408.0,17
88,2018-12-27,3000.0,3000.0,2406.0,3000.0,13
89,2018-12-28,2940.0,3294.0,2940.0,3294.0,2
90,2018-12-31,3144.0,3174.0,2916.0,2916.0,5
91,2019-01-02,3120.0,3120.0,3120.0,3120.0,0
92,2019-01-03,3120.0,3120.0,3120.0,3120.0,0
93,2019-01-04,3012.0,3084.0,2466.0,3084.0,1
94,2019-01-07,3012.0,3012.0,3012.0,3012.0,1
95,2019-01-08,2850.0,3012.0,2784.0,2784.0,11
96,2019-01-09,2910.0,2910.0,2910.0,2910.0,1
97,2019-01-10,2910.0,2910.0,2910.0,2910.0,0
98,2019-01-11,2904.0,2904.0,2850.0,2850.0,3
99,2019-01-14,2700.0,3126.0,2604.0,3126.0,31
100,2019-01-15,2676.0,3150.0,2610.0,2868.0,16
101,2019-01-16,2700.0,3300.0,2700.0,2928.0,12
102,2019-01-17,2640.0,2700.0,2640.0,2700.0,8
103,2019-01-18,2688.0,2700.0,2532.0,2640.0,23
104,2019-01-22,2670.0,2940.0,2640.0,2670.0,15
105,2019-01-23,2658.0,2700.0,2652.0,2652.0,14
106,2019-01-24,2640.0,2700.0,2604.0,2604.0,7
107,2019-01-25,2646.0,2700.0,2622.0,2688.0,3
108,2019-01-28,2580.0,2748.0,2580.0,2748.0,17
109,2019-01-29,2430.0,2610.0,2418.0,2592.0,22
110,2019-01-30,2436.0,2538.0,2430.0,2454.0,2
111,2019-01-31,2460.0,2562.0,2460.0,2562.0,1
112,2019-02-01,2418.0,2454.0,2418.0,2454.0,6
