,Date,Close,High,Low,Open,Volume
0,1996-04-02,660.0,810.0,600.0,760.0,16424
1,1996-04-03,670.0,700.0,600.0,690.0,4858
2,1996-04-04,600.0,670.0,600.0,600.0,1233
3,1996-04-08,610.0,670.0,600.0,670.0,923
4,1996-04-09,600.0,660.0,600.0,600.0,1535
5,1996-04-10,615.0,660.0,600.0,600.0,1469
6,1996-04-11,600.0,630.0,600.0,620.0,726
7,1996-04-12,620.0,630.0,600.0,600.0,604
8,1996-04-15,605.0,630.0,600.0,600.0,511
9,1996-04-16,600.0,630.0,600.0,630.0,430
10,1996-04-17,600.0,640.0,600.0,600.0,733
11,1996-04-18,620.0,640.0,600.0,600.0,239
12,1996-04-19,605.0,640.0,600.0,600.0,574
13,1996-04-22,600.0,640.0,600.0,600.0,743
14,1996-04-23,605.0,640.0,600.0,600.0,671
15,1996-04-24,600.0,640.0,600.0,600.0,769
16,1996-04-25,600.0,640.0,600.0,640.0,806
17,1996-04-26,600.0,640.0,600.0,600.0,409
18,1996-04-29,640.0,640.0,600.0,600.0,208
19,1996-04-30,620.0,640.0,600.0,600.0,584
20,1996-05-01,620.0,620.0,600.0,600.0,551
21,1996-05-02,600.0,640.0,600.0,600.0,874
22,1996-05-03,600.0,640.0,600.0,600.0,1826
23,1996-05-06,600.0,640.0,600.0,640.0,190
24,1996-05-07,640.0,640.0,600.0,605.0,483
25,1996-05-08,600.0,640.0,600.0,600.0,590
26,1996-05-09,640.0,640.0,600.0,640.0,850
27,1996-05-10,600.0,640.0,600.0,600.0,670
28,1996-05-13,600.0,640.0,600.0,600.0,921
29,1996-05-14,600.0,640.0,600.0,600.0,955
30,1996-05-15,620.0,650.0,540.0,540.0,548
31,1996-05-16,610.0,630.0,560.0,580.0,803
32,1996-05-17,580.0,640.0,580.0,580.0,976
33,1996-05-20,640.0,640.0,580.0,640.0,245
34,1996-05-21,590.0,640.0,580.0,640.0,671
35,1996-05-22,580.0,630.0,580.0,580.0,771
36,1996-05-23,620.0,620.0,580.0,620.0,2416
37,1996-05-24,640.0,640.0,580.0,580.0,931
38,1996-05-28,560.0,620.0,560.0,580.0,1009
39,1996-05-29,610.0,620.0,550.0,620.0,823
40,1996-05-30,560.0,610.0,550.0,550.0,273
41,1996-05-31,550.0,560.0,540.0,550.0,281
42,1996-06-03,540.0,560.0,540.0,560.0,338
43,1996-06-04,545.0,560.0,540.0,540.0,349
44,1996-06-05,520.0,560.0,520.0,540.0,336
45,1996-06-06,522.5,560.0,520.0,520.0,380
46,1996-06-07,480.0,560.0,480.0,530.0,2703
47,1996-06-10,520.0,520.0,520.0,520.0,160
48,1996-06-11,540.0,560.0,520.0,560.0,495
49,1996-06-12,520.0,560.0,520.0,520.0,385
50,1996-06-13,520.0,520.0,520.0,520.0,748
51,1996-06-14,520.0,560.0,510.0,555.0,364
52,1996-06-17,520.0,560.0,520.0,520.0,261
53,1996-06-18,500.0,550.0,480.0,520.0,626
54,1996-06-19,575.0,580.0,510.0,510.0,1183
55,1996-06-20,580.0,600.0,560.0,560.0,1010
56,1996-06-21,660.0,730.0,580.0,600.0,2128
57,1996-06-24,705.0,760.0,640.0,640.0,1739
58,1996-06-25,710.0,760.0,680.0,700.0,5346
59,1996-06-26,660.0,710.0,660.0,680.0,646
60,1996-06-27,640.0,700.0,640.0,660.0,568
61,1996-06-28,660.0,680.0,640.0,680.0,581
62,1996-07-01,640.0,680.0,640.0,640.0,418
63,1996-07-02,610.0,680.0,600.0,640.0,868
64,1996-07-03,630.0,640.0,600.0,600.0,176
65,1996-07-05,590.0,600.0,590.0,600.0,115
66,1996-07-08,560.0,620.0,560.0,620.0,545
67,1996-07-09,630.0,630.0,560.0,560.0,101
68,1996-07-10,630.0,630.0,560.0,560.0,248
69,1996-07-11,560.0,630.0,560.0,630.0,266
70,1996-07-12,630.0,630.0,560.0,560.0,166
71,1996-07-15,570.0,620.0,550.0,560.0,161
72,1996-07-16,530.0,620.0,530.0,620.0,355
73,1996-07-17,620.0,620.0,530.0,530.0,128
74,1996-07-18,610.0,620.0,530.0,530.0,251
75,1996-07-19,620.0,620.0,530.0,620.0,300
76,1996-07-22,570.0,620.0,530.0,530.0,739
77,1996-07-23,600.0,620.0,550.0,620.0,1143
78,1996-07-24,560.0,600.0,530.0,530.0,428
79,1996-07-25,560.0,580.0,530.0,540.0,643
80,1996-07-26,560.0,560.0,530.0,530.0,470
81,1996-07-29,530.0,530.0,530.0,530.0,54
82,1996-07-30,530.0,560.0,530.0,530.0,198
83,1996-07-31,540.0,540.0,520.0,530.0,190
84,1996-08-01,520.0,540.0,520.0,520.0,314
85,1996-08-02,520.0,540.0,520.0,520.0,103
86,1996-08-05,520.0,540.0,520.0,520.0,434
87,1996-08-06,540.0,540.0,520.0,520.0,110
88,1996-08-07,540.0,540.0,520.0,520.0,291
89,1996-08-08,540.0,540.0,520.0,520.0,711
90,1996-08-09,500.0,540.0,500.0,510.0,495
91,1996-08-12,540.0,540.0,500.0,500.0,108
92,1996-08-13,540.0,590.0,520.0,520.0,31
93,1996-08-14,550.0,590.0,550.0,550.0,491
94,1996-08-15,590.0,590.0,550.0,590.0,178
95,1996-08-16,710.0,710.0,550.0,550.0,1470
96,1996-08-19,690.0,710.0,640.0,640.0,1000
97,1996-08-20,700.0,710.0,610.0,700.0,2440
98,1996-08-21,640.0,700.0,610.0,700.0,781
99,1996-08-22,610.0,660.0,610.0,610.0,664
100,1996-08-23,640.0,640.0,600.0,640.0,803
101,1996-08-26,600.0,640.0,600.0,640.0,505
102,1996-08-27,620.0,620.0,600.0,620.0,953
103,1996-08-28,600.0,620.0,590.0,600.0,288
104,1996-08-29,590.0,620.0,590.0,590.0,455
105,1996-08-30,620.0,620.0,590.0,620.0,670
106,1996-09-03,590.0,620.0,590.0,620.0,151
107,1996-09-04,600.0,640.0,600.0,620.0,903
108,1996-09-05,640.0,640.0,600.0,640.0,2300
109,1996-09-06,640.0,640.0,600.0,640.0,333
110,1996-09-09,640.0,640.0,640.0,640.0,90
111,1996-09-10,640.0,640.0,600.0,640.0,1325
112,1996-09-11,640.0,640.0,600.0,640.0,189
113,1996-09-12,640.0,640.0,600.0,600.0,221
114,1996-09-13,620.0,640.0,600.0,640.0,566
115,1996-09-16,600.0,660.0,600.0,660.0,300
116,1996-09-17,660.0,660.0,600.0,600.0,639
117,1996-09-18,600.0,660.0,600.0,660.0,410
118,1996-09-19,600.0,650.0,600.0,600.0,125
119,1996-09-20,600.0,650.0,600.0,650.0,1840
120,1996-09-23,615.0,650.0,600.0,600.0,1581
121,1996-09-24,650.0,650.0,600.0,640.0,624
122,1996-09-25,650.0,650.0,595.0,600.0,3020
123,1996-09-26,620.0,620.0,597.5,600.0,951
124,1996-09-27,597.5,620.0,597.5,600.0,469
125,1996-09-30,620.0,620.0,597.5,600.0,536
126,1996-10-01,600.0,620.0,600.0,600.0,376
127,1996-10-02,617.5,620.0,600.0,600.0,233
128,1996-10-03,590.0,620.0,590.0,600.0,266
129,1996-10-04,620.0,620.0,590.0,590.0,206
130,1996-10-07,590.0,600.0,590.0,590.0,230
131,1996-10-08,620.0,620.0,590.0,590.0,286
132,1996-10-09,580.0,610.0,580.0,580.0,221
133,1996-10-10,610.0,610.0,580.0,610.0,425
134,1996-10-11,610.0,610.0,580.0,580.0,129
135,1996-10-14,585.0,610.0,580.0,580.0,271
136,1996-10-15,580.0,610.0,580.0,610.0,124
137,1996-10-16,585.0,610.0,580.0,580.0,195
138,1996-10-17,580.0,610.0,580.0,610.0,159
139,1996-10-18,585.0,610.0,580.0,610.0,204
140,1996-10-21,600.0,610.0,580.0,610.0,216
141,1996-10-22,580.0,610.0,580.0,610.0,250
142,1996-10-23,580.0,610.0,580.0,610.0,69
143,1996-10-24,580.0,620.0,580.0,580.0,366
144,1996-10-25,570.0,620.0,570.0,580.0,415
145,1996-10-28,620.0,620.0,570.0,570.0,488
146,1996-10-29,570.0,620.0,570.0,570.0,185
147,1996-10-30,550.0,620.0,550.0,570.0,746
148,1996-10-31,540.0,580.0,540.0,550.0,425
149,1996-11-01,580.0,580.0,540.0,540.0,324
150,1996-11-04,620.0,620.0,540.0,620.0,164
151,1996-11-05,540.0,600.0,540.0,540.0,36
152,1996-11-06,530.0,600.0,530.0,540.0,356
153,1996-11-07,500.0,550.0,500.0,550.0,340
154,1996-11-08,500.0,540.0,490.0,540.0,209
155,1996-11-11,480.0,540.0,480.0,490.0,161
156,1996-11-12,480.0,550.0,480.0,480.0,688
157,1996-11-13,440.0,550.0,440.0,550.0,1216
158,1996-11-14,460.0,490.0,430.0,440.0,234
159,1996-11-15,490.0,490.0,410.0,430.0,879
160,1996-11-18,490.0,490.0,410.0,490.0,818
161,1996-11-19,480.0,490.0,400.0,410.0,328
162,1996-11-20,490.0,490.0,400.0,400.0,506
163,1996-11-21,400.0,490.0,400.0,490.0,549
164,1996-11-22,490.0,490.0,400.0,400.0,465
165,1996-11-25,420.0,490.0,420.0,490.0,1448
166,1996-11-26,490.0,490.0,420.0,420.0,93
167,1996-11-27,480.0,490.0,420.0,420.0,186
168,1996-11-29,480.0,480.0,420.0,420.0,63
169,1996-12-02,480.0,480.0,420.0,420.0,175
170,1996-12-03,440.0,480.0,430.0,430.0,118
171,1996-12-04,440.0,480.0,440.0,480.0,341
172,1996-12-05,470.0,480.0,470.0,480.0,194
173,1996-12-06,470.0,490.0,470.0,480.0,201
174,1996-12-09,470.0,470.0,470.0,470.0,51
175,1996-12-10,460.0,500.0,460.0,460.0,120
176,1996-12-11,490.0,510.0,460.0,460.0,659
177,1996-12-12,540.0,540.0,490.0,510.0,589
178,1996-12-13,550.0,560.0,540.0,540.0,679
179,1996-12-16,550.0,570.0,550.0,550.0,110
180,1996-12-17,540.0,570.0,540.0,550.0,578
181,1996-12-18,540.0,570.0,540.0,540.0,520
182,1996-12-19,570.0,570.0,540.0,540.0,1025
183,1996-12-20,560.0,570.0,540.0,570.0,445
184,1996-12-23,540.0,570.0,540.0,540.0,114
185,1996-12-24,570.0,570.0,540.0,540.0,103
186,1996-12-26,540.0,570.0,540.0,540.0,1099
187,1996-12-27,540.0,540.0,540.0,540.0,14
188,1996-12-30,540.0,540.0,540.0,540.0,50
189,1996-12-31,560.0,570.0,530.0,540.0,221
190,1997-01-02,530.0,570.0,530.0,530.0,53
191,1997-01-03,500.0,560.0,500.0,530.0,206
192,1997-01-06,555.0,555.0,500.0,500.0,73
193,1997-01-07,550.0,555.0,500.0,555.0,281
194,1997-01-08,540.0,550.0,500.0,500.0,411
195,1997-01-09,500.0,540.0,500.0,540.0,343
196,1997-01-10,500.0,530.0,500.0,500.0,399
197,1997-01-13,500.0,530.0,500.0,500.0,424
198,1997-01-14,505.0,520.0,500.0,500.0,351
199,1997-01-15,530.0,530.0,500.0,502.5,401
200,1997-01-16,530.0,530.0,500.0,500.0,598
201,1997-01-17,500.0,530.0,500.0,500.0,238
202,1997-01-20,500.0,530.0,500.0,500.0,760
203,1997-01-21,500.0,530.0,500.0,500.0,718
204,1997-01-22,530.0,530.0,500.0,500.0,490
205,1997-01-23,520.0,530.0,500.0,500.0,218
206,1997-01-24,540.0,540.0,500.0,500.0,1284
207,1997-01-27,490.0,540.0,490.0,500.0,650
208,1997-01-28,490.0,540.0,490.0,540.0,1371
209,1997-01-29,490.0,540.0,490.0,490.0,124
210,1997-01-30,490.0,540.0,490.0,490.0,304
211,1997-01-31,540.0,540.0,490.0,540.0,336
212,1997-02-03,490.0,540.0,490.0,490.0,426
213,1997-02-04,490.0,530.0,490.0,530.0,963
214,1997-02-05,540.0,540.0,490.0,530.0,370
215,1997-02-06,490.0,540.0,490.0,540.0,121
216,1997-02-07,490.0,530.0,490.0,490.0,285
217,1997-02-10,490.0,500.0,490.0,490.0,319
218,1997-02-11,490.0,540.0,490.0,540.0,203
219,1997-02-12,490.0,540.0,490.0,490.0,493
220,1997-02-13,520.0,520.0,490.0,520.0,164
221,1997-02-14,490.0,500.0,490.0,490.0,53
222,1997-02-18,490.0,510.0,490.0,490.0,365
223,1997-02-19,490.0,520.0,490.0,520.0,664
224,1997-02-20,470.0,520.0,470.0,490.0,1011
225,1997-02-21,470.0,480.0,470.0,470.0,359
226,1997-02-24,480.0,480.0,440.0,470.0,710
227,1997-02-25,435.0,480.0,430.0,440.0,1141
228,1997-02-26,450.0,450.0,420.0,430.0,241
229,1997-02-27,420.0,420.0,420.0,420.0,95
230,1997-02-28,450.0,450.0,420.0,450.0,96
231,1997-03-03,410.0,420.0,410.0,420.0,223
232,1997-03-04,400.0,420.0,400.0,400.0,395
233,1997-03-05,400.0,420.0,400.0,400.0,826
234,1997-03-06,400.0,420.0,400.0,400.0,165
235,1997-03-07,400.0,420.0,400.0,400.0,135
236,1997-03-10,400.0,420.0,400.0,400.0,414
237,1997-03-11,420.0,420.0,400.0,400.0,233
238,1997-03-12,460.0,460.0,400.0,400.0,950
239,1997-03-13,500.0,500.0,460.0,460.0,1019
240,1997-03-14,480.0,500.0,480.0,480.0,1051
241,1997-03-17,480.0,500.0,480.0,500.0,224
242,1997-03-18,470.0,500.0,470.0,480.0,661
243,1997-03-19,460.0,500.0,460.0,460.0,429
244,1997-03-20,480.0,490.0,460.0,460.0,405
245,1997-03-21,460.0,500.0,450.0,500.0,939
246,1997-03-24,440.0,500.0,440.0,450.0,618
247,1997-03-25,420.0,500.0,420.0,500.0,1185
248,1997-03-26,420.0,440.0,420.0,420.0,141
249,1997-03-27,440.0,440.0,420.0,420.0,885
250,1997-03-31,420.0,440.0,420.0,440.0,90
251,1997-04-01,420.0,440.0,420.0,440.0,38
252,1997-04-02,400.0,440.0,400.0,420.0,709
253,1997-04-03,430.0,430.0,400.0,400.0,710
254,1997-04-04,400.0,400.0,400.0,400.0,180
255,1997-04-07,390.0,410.0,390.0,400.0,209
256,1997-04-08,390.0,400.0,390.0,390.0,366
257,1997-04-09,380.0,390.0,380.0,390.0,588
258,1997-04-10,360.0,380.0,340.0,380.0,733
259,1997-04-11,285.0,340.0,280.0,340.0,991
260,1997-04-14,280.0,320.0,280.0,280.0,1160
261,1997-04-15,300.0,320.0,280.0,280.0,886
262,1997-04-16,300.0,345.0,280.0,300.0,1089
263,1997-04-17,280.0,315.0,280.0,290.0,1185
264,1997-04-18,315.0,315.0,280.0,280.0,2075
265,1997-04-21,280.0,315.0,280.0,280.0,554
266,1997-04-22,290.0,300.0,280.0,300.0,435
267,1997-04-23,310.0,320.0,280.0,320.0,485
268,1997-04-24,280.0,320.0,280.0,320.0,920
269,1997-04-25,320.0,360.0,280.0,320.0,2004
270,1997-04-28,310.0,360.0,310.0,360.0,171
271,1997-04-29,360.0,360.0,310.0,310.0,485
272,1997-04-30,360.0,360.0,310.0,360.0,584
273,1997-05-01,360.0,370.0,310.0,360.0,3379
274,1997-05-02,385.0,385.0,325.0,325.0,436
275,1997-05-05,360.0,385.0,360.0,360.0,1126
276,1997-05-06,360.0,390.0,360.0,380.0,1911
277,1997-05-07,390.0,390.0,360.0,390.0,693
278,1997-05-08,440.0,440.0,370.0,390.0,1061
279,1997-05-09,400.0,440.0,400.0,440.0,1586
280,1997-05-12,420.0,440.0,400.0,400.0,593
281,1997-05-13,400.0,420.0,400.0,420.0,1308
282,1997-05-14,440.0,440.0,400.0,420.0,1388
283,1997-05-15,440.0,440.0,400.0,400.0,1006
284,1997-05-16,400.0,440.0,400.0,440.0,1369
285,1997-05-19,430.0,440.0,400.0,440.0,1789
286,1997-05-20,400.0,420.0,400.0,420.0,1440
287,1997-05-21,440.0,440.0,400.0,420.0,2063
288,1997-05-22,400.0,440.0,400.0,400.0,1584
289,1997-05-23,420.0,440.0,400.0,400.0,808
290,1997-05-27,415.0,420.0,400.0,420.0,1728
291,1997-05-28,400.0,430.0,400.0,400.0,431
292,1997-05-29,430.0,430.0,400.0,430.0,694
293,1997-05-30,400.0,430.0,400.0,400.0,1795
294,1997-06-02,400.0,430.0,400.0,400.0,346
295,1997-06-03,380.0,410.0,380.0,400.0,424
296,1997-06-04,380.0,410.0,370.0,380.0,519
297,1997-06-05,350.0,380.0,350.0,370.0,694
298,1997-06-06,350.0,380.0,350.0,370.0,723
299,1997-06-09,350.0,370.0,320.0,350.0,816
300,1997-06-10,350.0,350.0,320.0,320.0,438
301,1997-06-11,320.0,350.0,320.0,320.0,53
302,1997-06-12,320.0,350.0,320.0,350.0,880
303,1997-06-13,325.0,350.0,320.0,350.0,385
304,1997-06-16,320.0,350.0,320.0,320.0,264
305,1997-06-17,320.0,350.0,320.0,350.0,771
306,1997-06-18,350.0,350.0,320.0,350.0,485
307,1997-06-19,350.0,350.0,320.0,350.0,509
308,1997-06-20,350.0,350.0,320.0,350.0,395
