,Date,Close,High,Low,Open,Volume
0,2014-10-31,87.5,87.5,87.5,87.5,4
1,2014-11-03,87.5,87.5,87.5,87.5,36
2,2014-11-04,81.25,82.5,81.25,82.5,44
3,2014-11-05,78.75,78.75,78.75,78.75,20
4,2014-11-06,75.0,81.25,75.0,78.75,52
5,2014-11-07,75.0,76.25,75.0,75.0,52
6,2014-11-10,76.25,76.25,76.25,76.25,124
7,2014-11-11,76.0,76.0,76.0,76.0,4
8,2014-11-12,76.25,76.25,76.25,76.25,16
9,2014-11-13,77.5,77.5,77.5,77.5,4
10,2014-11-14,71.25,77.5,71.25,77.5,160
11,2014-11-17,71.25,71.25,71.25,71.25,48
12,2014-11-18,71.25,72.25,68.75,72.25,208
13,2014-11-19,70.75,71.25,70.75,71.25,128
14,2014-11-20,70.75,70.75,70.75,70.75,0
15,2014-11-21,72.5,72.5,70.75,70.75,96
16,2014-11-24,72.5,72.5,72.5,72.5,4
17,2014-11-25,72.5,72.5,72.5,72.5,12
18,2014-11-26,72.5,72.5,72.5,72.5,0
19,2014-11-28,72.5,72.5,72.5,72.5,0
20,2014-12-01,74.75,74.75,70.0,70.0,12
21,2014-12-02,71.25,72.5,70.0,72.5,104
22,2014-12-03,71.25,71.25,71.25,71.25,0
23,2014-12-04,71.25,71.25,71.25,71.25,0
24,2014-12-05,71.25,71.25,71.25,71.25,68
25,2014-12-08,71.75,71.75,71.75,71.75,56
26,2014-12-09,71.75,71.75,70.25,70.25,60
27,2014-12-10,71.75,71.75,71.75,71.75,56
28,2014-12-11,72.0,72.0,72.0,72.0,56
29,2014-12-12,70.5,71.75,65.25,67.75,200
30,2014-12-15,70.5,70.5,70.5,70.5,0
31,2014-12-16,71.0,71.0,64.0,69.75,240
32,2014-12-17,70.5,70.5,70.5,70.5,4
33,2014-12-18,70.75,70.75,66.25,66.25,208
34,2014-12-19,70.75,70.75,70.75,70.75,4
35,2014-12-22,67.5,69.25,66.25,69.25,36
36,2014-12-23,67.5,67.5,67.5,67.5,4
37,2014-12-24,67.5,67.5,67.5,67.5,0
38,2014-12-26,64.0,69.75,64.0,66.25,80
39,2014-12-29,70.0,70.0,69.25,69.25,44
40,2014-12-30,69.75,69.75,66.25,66.5,32
41,2014-12-31,70.0,70.0,70.0,70.0,16
42,2015-01-02,70.0,70.0,65.0,65.0,24
43,2015-01-05,69.75,69.75,64.0,68.75,48
44,2015-01-06,68.75,68.75,68.75,68.75,4
45,2015-01-07,69.0,69.0,69.0,69.0,32
46,2015-01-08,71.125,71.125,70.0,70.0,192
47,2015-01-09,65.5,71.25,65.5,71.25,704
48,2015-01-12,61.0,62.75,55.75,62.75,80
49,2015-01-13,57.25,57.5,57.25,57.5,16
50,2015-01-14,56.25,57.25,56.25,57.25,56
51,2015-01-15,62.5,65.0,40.25,56.224998474121094,1228
52,2015-01-16,57.5,57.5,57.5,57.5,4
53,2015-01-20,51.5,57.25,51.5,51.5,152
54,2015-01-21,52.25,52.25,50.0,52.25,92
55,2015-01-22,52.75,53.75,50.0,51.0,616
56,2015-01-23,55.0,55.0,52.75,52.75,48
57,2015-01-26,52.25,52.5,52.25,52.5,8
58,2015-01-27,48.75,48.75,48.75,48.75,8
59,2015-01-28,52.75,58.5,41.75,48.75,548
