,Date,Close,High,Low,Open,Volume
0,1993-01-28,3250.0,3500.0,3187.5,3250.0,2046
1,1993-01-29,3250.0,3437.5,3250.0,3437.5,448
2,1993-02-01,3250.0,3375.0,3250.0,3250.0,34
3,1993-02-02,3281.25,3375.0,3250.0,3250.0,506
4,1993-02-03,3250.0,3375.0,3250.0,3375.0,197
5,1993-02-04,3250.0,3375.0,3250.0,3250.0,288
6,1993-02-05,3250.0,3375.0,3250.0,3250.0,129
7,1993-02-08,3250.0,3375.0,3218.75,3250.0,617
8,1993-02-09,2812.5,3375.0,2750.0,3375.0,168
9,1993-02-10,2875.0,3000.0,2875.0,2875.0,38
10,1993-02-11,2750.0,2750.0,2625.0,2750.0,7
11,1993-02-12,2625.0,3000.0,2625.0,2875.0,48
12,1993-02-16,2375.0,2750.0,2375.0,2625.0,37
13,1993-02-17,2125.0,2500.0,2125.0,2375.0,106
14,1993-02-18,2062.5,2250.0,2000.0,2125.0,73
15,1993-02-19,2125.0,2234.375,2062.5,2187.5,102
16,1993-02-22,2125.0,2187.5,2062.5,2062.5,37
17,1993-02-23,1937.5,2062.5,1437.5,2000.0,302
18,1993-02-24,2125.0,2250.0,1875.0,1937.5,283
19,1993-02-25,2250.0,2250.0,2125.0,2125.0,57
20,1993-02-26,2000.0,2250.0,1812.5,2250.0,71
21,1993-03-01,1875.0,2125.0,1875.0,2125.0,18
22,1993-03-02,1937.5,2125.0,1937.5,2125.0,15
23,1993-03-03,1687.5,1875.0,1500.0,1875.0,146
24,1993-03-04,1812.5,1875.0,1625.0,1750.0,89
25,1993-03-05,2000.0,2125.0,1750.0,1875.0,109
26,1993-03-08,2062.5,2187.5,2000.0,2187.5,50
27,1993-03-09,2312.5,2500.0,2000.0,2000.0,103
28,1993-03-10,2562.5,2750.0,2437.5,2500.0,83
29,1993-03-11,2687.5,2750.0,2625.0,2750.0,6
30,1993-03-12,2562.5,2625.0,2375.0,2562.5,31
31,1993-03-15,2625.0,2625.0,2562.5,2562.5,13
32,1993-03-16,2750.0,2750.0,2500.0,2625.0,29
33,1993-03-17,2625.0,2687.5,2562.5,2687.5,70
34,1993-03-18,2562.5,2687.5,2562.5,2625.0,60
35,1993-03-19,2562.5,2687.5,2562.5,2562.5,24
36,1993-03-22,2500.0,2750.0,2500.0,2687.5,23
37,1993-03-23,2562.5,2625.0,2375.0,2625.0,24
38,1993-03-24,2531.25,2562.5,2312.5,2562.5,31
39,1993-03-25,2562.5,2562.5,2562.5,2562.5,6
40,1993-03-26,2406.25,2500.0,2375.0,2406.25,5
41,1993-03-29,2375.0,2437.5,2375.0,2437.5,111
42,1993-03-30,2375.0,2437.5,2375.0,2406.25,64
43,1993-03-31,2375.0,2437.5,2375.0,2406.25,44
44,1993-04-01,2375.0,2437.5,2375.0,2406.25,40
45,1993-04-02,2250.0,2437.5,2250.0,2437.5,6
46,1993-04-05,2250.0,2250.0,2125.0,2250.0,35
47,1993-04-06,2187.5,2250.0,2125.0,2250.0,110
48,1993-04-07,2187.5,2187.5,2062.5,2187.5,7
49,1993-04-08,2187.5,2187.5,2062.5,2062.5,5
50,1993-04-12,2062.5,2156.25,2062.5,2062.5,54
51,1993-04-13,2062.5,2062.5,2062.5,2062.5,0
52,1993-04-14,2375.0,2375.0,2312.5,2312.5,15
53,1993-04-15,2250.0,2500.0,2250.0,2375.0,81
54,1993-04-16,2406.25,2437.5,2312.5,2375.0,152
55,1993-04-19,2500.0,2500.0,2375.0,2375.0,15
56,1993-04-20,2375.0,2500.0,2375.0,2500.0,8
57,1993-04-21,2375.0,2500.0,2375.0,2375.0,15
58,1993-04-22,2375.0,2437.5,2250.0,2375.0,32
59,1993-04-23,2000.0,2312.5,2000.0,2312.5,54
60,1993-04-26,2000.0,2125.0,2000.0,2000.0,12
61,1993-04-27,2125.0,2125.0,1937.5,2062.5,34
62,1993-04-28,2250.0,2312.5,2125.0,2312.5,54
63,1993-04-29,2187.5,2500.0,2125.0,2500.0,70
64,1993-04-30,2125.0,2250.0,2062.5,2250.0,42
65,1993-05-03,2187.5,2250.0,2187.5,2250.0,7
66,1993-05-04,2250.0,2250.0,2062.5,2062.5,9
67,1993-05-05,2250.0,2250.0,2062.5,2250.0,8
68,1993-05-06,2000.0,2187.5,2000.0,2000.0,4
69,1993-05-07,1875.0,2000.0,1812.5,2000.0,233
70,1993-05-10,2062.5,2062.5,2062.5,2062.5,5
71,1993-05-11,2000.0,2000.0,2000.0,2000.0,0
72,1993-05-12,2187.5,2187.5,2062.5,2062.5,1
73,1993-05-13,2000.0,2187.5,2000.0,2000.0,17
74,1993-05-14,2031.25,2187.5,2031.25,2187.5,6
75,1993-05-17,2031.25,2031.25,2031.25,2031.25,0
76,1993-05-18,2062.5,2062.5,1843.75,2000.0,32
77,1993-05-19,1843.75,2015.625,1812.5,2000.0,36
78,1993-05-20,1875.0,2000.0,1687.5,2000.0,296
79,1993-05-21,2062.5,2062.5,2000.0,2062.5,68
80,1993-05-24,2062.5,2062.5,1875.0,1875.0,2
81,1993-05-25,1875.0,1875.0,1875.0,1875.0,1
82,1993-05-26,2000.0,2000.0,1875.0,1875.0,6
83,1993-05-27,2062.5,2062.5,1937.5,1937.5,26
84,1993-05-28,1875.0,2062.5,1875.0,2062.5,3
85,1993-06-01,1937.5,1937.5,1875.0,1875.0,20
86,1993-06-02,1875.0,1875.0,1875.0,1875.0,1
87,1993-06-03,1937.5,1937.5,1875.0,1875.0,9
88,1993-06-04,2000.0,2000.0,1937.5,1937.5,9
89,1993-06-07,2000.0,2000.0,2000.0,2000.0,0
90,1993-06-08,1937.5,1937.5,1937.5,1937.5,10
91,1993-06-09,2000.0,2000.0,1937.5,1937.5,8
92,1993-06-10,2000.0,2000.0,2000.0,2000.0,0
93,1993-06-11,2000.0,2000.0,1875.0,1875.0,7
94,1993-06-14,1812.5,1937.5,1687.5,1875.0,17
95,1993-06-15,1937.5,1937.5,1937.5,1937.5,1
96,1993-06-16,1937.5,1937.5,1687.5,1687.5,10
97,1993-06-17,1937.5,1937.5,1937.5,1937.5,0
98,1993-06-18,1843.75,1843.75,1843.75,1843.75,1
99,1993-06-21,1562.5,1937.5,1500.0,1937.5,105
100,1993-06-22,1500.0,1750.0,1500.0,1562.5,4
101,1993-06-23,1468.75,1750.0,1437.5,1750.0,30
102,1993-06-24,1625.0,1625.0,1375.0,1375.0,17
103,1993-06-25,1625.0,1625.0,1500.0,1625.0,17
104,1993-06-28,1750.0,1750.0,1500.0,1625.0,34
105,1993-06-29,1875.0,1875.0,1687.5,1750.0,25
106,1993-06-30,1937.5,1937.5,1812.5,1875.0,50
107,1993-07-01,1937.5,1937.5,1875.0,1875.0,24
108,1993-07-02,1937.5,1937.5,1875.0,1937.5,15
109,1993-07-06,1906.25,2000.0,1875.0,2000.0,18
110,1993-07-07,1812.5,2000.0,1812.5,2000.0,10
111,1993-07-08,1843.75,2000.0,1812.5,2000.0,20
112,1993-07-09,1750.0,2000.0,1750.0,2000.0,40
113,1993-07-12,1937.5,1937.5,1750.0,1875.0,14
114,1993-07-13,1937.5,1937.5,1937.5,1937.5,2
115,1993-07-14,1750.0,1750.0,1750.0,1750.0,0
116,1993-07-15,1750.0,1750.0,1750.0,1750.0,0
117,1993-07-16,1843.75,1843.75,1843.75,1843.75,1
118,1993-07-19,1750.0,1750.0,1750.0,1750.0,1
119,1993-07-20,1843.75,1875.0,1843.75,1875.0,18
120,1993-07-21,1937.5,1937.5,1812.5,1812.5,482
121,1993-07-22,1906.25,2000.0,1875.0,2000.0,20
122,1993-07-23,1906.25,1906.25,1906.25,1906.25,0
123,1993-07-26,1937.5,2000.0,1937.5,2000.0,4
124,1993-07-27,2000.0,2000.0,1875.0,1875.0,21
125,1993-07-28,1937.5,2000.0,1875.0,2000.0,29
126,1993-07-29,1875.0,1937.5,1875.0,1937.5,37
127,1993-07-30,1937.5,1937.5,1875.0,1875.0,9
128,1993-08-02,1875.0,1937.5,1812.5,1937.5,3
129,1993-08-03,1812.5,1937.5,1812.5,1812.5,24
130,1993-08-04,1750.0,1750.0,1750.0,1750.0,1
131,1993-08-05,1750.0,1750.0,1750.0,1750.0,1
132,1993-08-06,1750.0,1750.0,1750.0,1750.0,0
133,1993-08-09,1937.5,1937.5,1875.0,1937.5,95
134,1993-08-10,1937.5,1937.5,1750.0,1937.5,54
135,1993-08-11,1937.5,1937.5,1812.5,1906.25,50
136,1993-08-12,1750.0,1937.5,1687.5,1906.25,191
137,1993-08-13,1812.5,1875.0,1781.25,1875.0,34
138,1993-08-16,1687.5,1875.0,1687.5,1812.5,111
139,1993-08-17,1718.75,1812.5,1718.75,1812.5,26
