,Date,Close,High,Low,Open,Volume
0,2005-11-10,51.0,53.5,51.0,53.5,1090
1,2005-11-11,52.5,52.5,51.0,51.0,750
2,2005-11-14,52.5,52.5,52.5,52.5,250
3,2005-11-15,52.5,52.5,51.0,51.0,510
4,2005-11-16,52.5,52.5,52.5,52.5,0
5,2005-11-17,51.0,53.5,51.0,53.5,120
6,2005-11-18,51.0,51.0,51.0,51.0,0
7,2005-11-21,50.20000076293945,51.5,50.0,51.0,230
8,2005-11-22,51.5,51.5,50.0,50.0,220
9,2005-11-23,51.5,51.5,51.5,51.5,0
10,2005-11-25,51.5,51.5,51.5,51.5,0
11,2005-11-28,51.5,51.5,51.5,51.5,0
12,2005-11-29,51.0,52.5,50.70000076293945,52.5,1020
13,2005-11-30,51.0,51.5,51.0,51.5,100
14,2005-12-01,54.5,54.5,51.0,52.5,300
15,2005-12-02,52.5,54.0,52.5,52.5,800
16,2005-12-05,53.5,53.5,52.5,52.5,700
17,2005-12-06,53.0,53.5,52.79999923706055,53.5,2370
18,2005-12-07,52.5,53.0,52.5,52.5,570
19,2005-12-08,47.5,52.5,47.5,52.5,2700
20,2005-12-09,45.0,47.5,42.0,47.5,1700
21,2005-12-12,51.0,60.0,51.0,54.5,300
22,2005-12-13,62.5,70.0,50.0,50.0,2200
23,2005-12-14,70.0,70.0,62.0,65.0,650
24,2005-12-15,82.5,85.0,72.5,72.5,7670
25,2005-12-16,77.0,85.0,77.0,77.5,3010
26,2005-12-19,67.5,72.5,65.0,72.5,270
27,2005-12-20,67.5,67.5,67.5,67.5,10
28,2005-12-21,67.5,67.5,67.5,67.5,20
29,2005-12-22,67.5,67.5,67.5,67.5,0
30,2005-12-23,75.0,75.0,66.0,66.0,100
31,2005-12-27,75.0,77.5,72.5,75.0,1240
32,2005-12-28,71.0,71.0,71.0,71.0,350
33,2005-12-29,67.5,68.0,65.0,68.0,210
34,2005-12-30,72.5,75.0,64.0,68.0,400
35,2006-01-03,64.0,75.0,64.0,75.0,480
36,2006-01-04,65.0,75.0,57.5,68.0,4080
37,2006-01-05,65.0,65.0,65.0,65.0,0
38,2006-01-06,67.5,67.5,62.5,62.5,510
39,2006-01-09,70.0,85.0,60.0,67.5,500
40,2006-01-10,65.0,68.0,62.5,68.0,1120
41,2006-01-11,70.0,71.5,65.0,67.0,780
42,2006-01-12,70.0,70.0,65.5,70.0,370
43,2006-01-13,70.0,70.0,70.0,70.0,130
44,2006-01-17,69.0,69.0,69.0,69.0,320
45,2006-01-18,70.0,70.0,70.0,70.0,20
46,2006-01-19,71.0,71.0,70.0,70.0,100
47,2006-01-20,70.0,71.5,70.0,71.5,50
48,2006-01-23,65.0,69.0,62.5,69.0,340
49,2006-01-24,63.0,70.0,60.0,70.0,660
50,2006-01-25,65.5,65.5,57.5,65.0,1170
51,2006-01-26,65.0,65.0,64.5,64.5,140
52,2006-01-27,68.0,68.0,68.0,68.0,100
53,2006-01-30,62.5,62.5,62.5,62.5,70
54,2006-01-31,72.5,72.5,65.0,65.0,1460
55,2006-02-01,67.5,72.0,67.5,72.0,280
56,2006-02-02,69.0,70.0,69.0,70.0,300
57,2006-02-03,70.0,70.0,70.0,70.0,180
58,2006-02-06,70.0,70.0,70.0,70.0,100
59,2006-02-07,70.0,70.0,70.0,70.0,530
60,2006-02-08,70.0,70.0,70.0,70.0,180
61,2006-02-09,69.5,69.5,68.0,68.0,40
62,2006-02-10,69.5,69.5,69.5,69.5,0
63,2006-02-13,70.0,70.0,67.5,67.5,800
64,2006-02-14,67.5,70.0,67.5,70.0,360
65,2006-02-15,63.5,67.5,58.5,67.5,1190
66,2006-02-16,65.0,65.0,62.5,62.5,400
67,2006-02-17,65.0,65.0,58.5,64.0,2770
68,2006-02-21,67.5,67.5,63.0,67.5,530
