,Date,Close,High,Low,Open,Volume
0,2013-10-10,10.0,10.0,10.0,10.0,26
1,2013-10-11,10.0,10.0,10.0,10.0,0
2,2013-10-14,10.0,10.0,10.0,10.0,0
3,2013-10-15,10.0,10.0,10.0,10.0,0
4,2013-10-16,10.0,10.0,10.0,10.0,0
5,2013-10-17,10.0,10.0,10.0,10.0,0
6,2013-10-18,10.0,10.0,10.0,10.0,0
7,2013-10-21,10.0,10.0,10.0,10.0,0
8,2013-10-22,10.0,10.0,10.0,10.0,0
9,2013-10-23,10.0,10.0,10.0,10.0,0
10,2013-10-24,10.0,10.0,10.0,10.0,0
11,2013-10-25,10.0,10.0,10.0,10.0,0
12,2013-10-28,10.0,10.0,10.0,10.0,0
13,2013-10-29,10.0,10.0,10.0,10.0,0
14,2013-10-30,10.0,10.0,10.0,10.0,0
15,2013-10-31,10.0,10.0,10.0,10.0,0
16,2013-11-01,10.0,10.0,10.0,10.0,0
17,2013-11-04,10.0,10.0,10.0,10.0,0
18,2013-11-05,10.0,10.0,10.0,10.0,0
19,2013-11-06,10.0,10.0,10.0,10.0,0
20,2013-11-07,10.0,10.0,10.0,10.0,0
21,2013-11-08,10.0,10.0,10.0,10.0,0
22,2013-11-11,10.0,10.0,10.0,10.0,0
23,2013-11-12,10.0,10.0,10.0,10.0,0
24,2013-11-13,10.0,10.0,10.0,10.0,0
25,2013-11-14,10.0,10.0,10.0,10.0,0
26,2013-11-15,10.0,10.0,10.0,10.0,0
27,2013-11-18,10.0,10.0,10.0,10.0,0
28,2013-11-19,10.0,10.0,10.0,10.0,0
29,2013-11-20,10.0,10.0,10.0,10.0,0
30,2013-11-21,10.0,10.0,10.0,10.0,0
31,2013-11-22,10.0,10.0,10.0,10.0,0
32,2013-11-25,10.0,10.0,10.0,10.0,0
33,2013-11-26,10.0,10.0,10.0,10.0,0
34,2013-11-27,10.0,10.0,10.0,10.0,0
35,2013-11-29,10.0,10.0,10.0,10.0,0
36,2013-12-02,10.0,10.0,10.0,10.0,0
37,2013-12-03,10.0,10.0,10.0,10.0,0
38,2013-12-04,70.0,70.0,50.0,50.0,55
39,2013-12-05,70.0,70.0,70.0,70.0,4
40,2013-12-06,70.0,70.0,70.0,70.0,0
41,2013-12-09,70.0,70.0,70.0,70.0,0
42,2013-12-10,70.0,70.0,70.0,70.0,0
43,2013-12-11,70.0,70.0,70.0,70.0,0
44,2013-12-12,70.0,70.0,70.0,70.0,0
45,2013-12-13,70.0,70.0,70.0,70.0,0
46,2013-12-16,70.0,70.0,70.0,70.0,0
47,2013-12-17,70.0,70.0,70.0,70.0,0
48,2013-12-18,70.0,70.0,70.0,70.0,0
49,2013-12-19,70.0,70.0,70.0,70.0,0
50,2013-12-20,70.0,70.0,70.0,70.0,0
51,2013-12-23,70.0,70.0,70.0,70.0,0
52,2013-12-24,70.0,70.0,70.0,70.0,0
53,2013-12-26,70.0,70.0,70.0,70.0,0
54,2013-12-27,70.0,70.0,70.0,70.0,0
