,Date,Close,High,Low,Open,Volume
0,2023-06-14,15000.0,30000.0,14850.0,27000.0,24
1,2023-06-15,7965.0,14685.0,5835.0,13500.0,34
2,2023-06-16,8170.5,8235.0,6375.0,6900.0,21
3,2023-06-20,8550.0,11130.0,8250.0,8250.0,24
4,2023-06-21,7170.0,8325.0,7162.5,7650.0,5
5,2023-06-22,5550.0,7800.0,4200.0,5265.0,606
6,2023-06-23,3945.0,6870.0,3690.0,5715.0,1130
7,2023-06-26,2775.0,3630.0,2580.0,3570.0,897
8,2023-06-27,2535.0,2790.0,2074.5,2235.0,957
9,2023-06-28,1995.0,2460.0,1935.0,2340.0,927
10,2023-06-29,1860.0,2160.0,1732.5,1875.0,752
11,2023-06-30,1665.0,1935.0,1605.0,1905.0,4132
12,2023-07-03,1680.0,1860.0,1485.0,1491.0,582
13,2023-07-05,1740.0,1830.0,1710.0,1755.0,602
14,2023-07-06,1680.0,1770.0,1650.0,1725.0,273
15,2023-07-07,1740.0,1845.0,1635.0,1695.0,570
16,2023-07-10,1695.0,1830.0,1605.0,1740.0,410
17,2023-07-11,1680.0,1740.0,1575.0,1650.0,664
18,2023-07-12,1650.0,2160.0,1620.0,1860.0,3055
19,2023-07-13,1500.0,1710.0,1455.0,1680.0,1035
20,2023-07-14,1489.5,1590.0,1462.5,1590.0,571
21,2023-07-17,1500.0,1665.0,1477.5,1650.0,1315
22,2023-07-18,1308.0,1500.0,1275.0,1483.5,890
23,2023-07-19,1236.0,1305.0,1155.0,1284.0,716
24,2023-07-20,1215.0,1290.0,1201.5,1257.0,363
25,2023-07-21,1131.0,1254.0,1131.0,1243.5,431
26,2023-07-24,1039.5,1140.0,1021.5,1140.0,367
27,2023-07-25,990.0,1033.5,946.5,1005.0,351
28,2023-07-26,988.5,1155.0,931.5,1020.0,1160
29,2023-07-27,892.5,1005.0,871.5,963.0,543
30,2023-07-28,910.5,928.5,825.0,928.5,508
31,2023-07-31,1005.0,1071.0,960.0,1053.0,733
32,2023-08-01,970.5,1029.0,945.0,966.0,444
33,2023-08-02,972.0,973.5,916.5,970.5,227
34,2023-08-03,939.0,967.5,910.5,951.0,230
35,2023-08-04,903.0,958.5,900.0,945.0,192
36,2023-08-07,901.5,951.0,870.0,885.0,225
37,2023-08-08,921.0,928.5,844.5,886.5,252
38,2023-08-09,903.0,945.0,879.0,937.5,173
39,2023-08-10,898.5,943.5,882.0,931.5,160
40,2023-08-11,930.0,930.0,877.5,901.5,270
41,2023-08-14,904.5,937.5,901.5,937.5,141
42,2023-08-15,882.0,919.5,867.0,901.5,111
43,2023-08-16,735.0,870.0,705.0,855.0,493
44,2023-08-17,724.5,742.5,709.5,742.5,154
45,2023-08-18,682.5,720.0,676.5,708.0,235
