,Date,Close,High,Low,Open,Volume
0,2000-06-23,22.0,23.625,18.5,19.5,7986500
1,2000-06-26,21.875,21.875,20.875,21.75,1005000
2,2000-06-27,21.5625,21.9375,21.125,21.9375,421000
3,2000-06-28,21.5625,21.6875,20.625,21.625,567500
4,2000-06-29,21.1875,21.5,21.1875,21.5,140300
5,2000-06-30,22.1875,22.75,20.875,21.1875,528300
6,2000-07-03,22.1875,22.25,21.75,22.1875,81800
7,2000-07-05,22.4375,24.25,21.5,22.0,198800
8,2000-07-06,23.75,23.75,22.0,22.5,155000
9,2000-07-07,23.625,24.5,23.0,23.75,302900
10,2000-07-10,24.75,24.8125,23.25,23.375,65200
11,2000-07-11,25.25,26.875,24.6875,25.0,325000
12,2000-07-12,24.875,26.5,24.75,25.5,244500
13,2000-07-13,26.25,26.375,24.4375,25.0,199100
14,2000-07-14,24.25,26.0,24.1875,26.0,93900
15,2000-07-17,23.6875,24.625,23.3125,24.5,499600
16,2000-07-18,24.75,25.0,23.6875,23.6875,299500
17,2000-07-19,24.875,25.6875,24.75,24.875,202700
18,2000-07-20,24.5625,24.875,24.5,24.875,25900
19,2000-07-21,24.1875,24.5,24.0,24.5,69400
20,2000-07-24,25.5,26.375,24.1875,24.1875,366400
21,2000-07-25,24.8125,25.5,24.8125,25.5,82200
22,2000-07-26,27.25,27.375,24.625,24.75,196700
23,2000-07-27,28.25,28.625,27.3125,27.3125,212200
24,2000-07-28,27.5625,28.1875,27.5,28.1875,109000
25,2000-07-31,30.1875,30.1875,27.3125,27.4375,437600
26,2000-08-01,28.5,30.0,27.875,30.0,170000
27,2000-08-02,28.1875,28.5,28.125,28.4375,54500
28,2000-08-03,30.375,30.5,28.5,28.5,351900
29,2000-08-04,29.875,31.0,29.25,30.625,91700
30,2000-08-07,33.0,33.5,29.75,29.75,422500
31,2000-08-08,33.0625,33.5,32.8125,33.0,138100
32,2000-08-09,31.6875,33.1875,31.375,33.1875,126100
33,2000-08-10,30.625,31.875,30.625,31.8125,117500
34,2000-08-11,29.375,30.625,29.375,30.5625,54500
35,2000-08-14,27.9375,29.125,27.9375,29.125,72300
36,2000-08-15,26.375,27.9375,24.5,27.9375,396200
37,2000-08-16,25.8125,26.4375,25.3125,26.375,160700
38,2000-08-17,25.8125,25.875,25.5625,25.8125,92200
39,2000-08-18,26.25,26.75,24.75,25.6875,214500
40,2000-08-21,25.5,26.3125,24.625,26.3125,183200
41,2000-08-22,26.375,26.4375,25.0,25.625,56000
42,2000-08-23,27.9375,28.125,26.375,26.375,149200
43,2000-08-24,28.0,28.625,27.375,27.875,101800
44,2000-08-25,27.5625,27.875,27.5,27.875,35000
45,2000-08-28,27.9375,27.9375,27.25,27.5625,47600
46,2000-08-29,27.875,27.9375,27.6875,27.9375,92100
47,2000-08-30,27.5,27.875,27.5,27.875,72500
48,2000-08-31,27.4375,27.4375,27.3125,27.375,18200
49,2000-09-01,27.6875,27.75,27.3125,27.5625,40800
50,2000-09-05,27.4375,27.75,27.125,27.75,57400
51,2000-09-06,27.5,27.625,27.5,27.5,58300
52,2000-09-07,27.25,27.5625,27.1875,27.5625,62200
53,2000-09-08,26.625,27.25,26.375,27.25,124500
54,2000-09-11,26.8125,26.875,26.625,26.8125,48000
55,2000-09-12,26.4375,26.8125,26.4375,26.8125,43900
56,2000-09-13,26.0,26.375,26.0,26.3125,190600
57,2000-09-14,25.8125,26.125,25.75,26.0,25200
58,2000-09-15,24.875,25.9375,24.875,25.9375,72200
59,2000-09-18,23.0,24.625,22.9375,24.625,128000
60,2000-09-19,21.5,22.875,21.5,22.875,96800
61,2000-09-20,22.0625,22.3125,21.375,21.625,94700
62,2000-09-21,22.5,22.625,22.125,22.125,75000
63,2000-09-22,23.0,23.875,22.375,22.375,179400
64,2000-09-25,26.75,26.875,23.125,23.125,247300
65,2000-09-26,28.5625,28.625,27.125,27.25,122900
66,2000-09-27,29.5625,30.25,29.5625,29.875,387300
67,2000-09-28,31.75,32.5,29.75,29.8125,140800
68,2000-09-29,34.0,34.0,30.75,31.5,148000
69,2000-10-02,31.5625,34.0,31.5,34.0,108100
70,2000-10-03,31.125,31.5625,30.4375,31.5625,54500
