,Date,Close,High,Low,Open,Volume
0,1999-06-07,250.0,325.0,237.5,325.0,254
1,1999-06-08,275.0,337.5,250.0,275.0,327
2,1999-06-09,243.75,275.0,243.75,275.0,109
3,1999-06-10,262.5,262.5,243.75,243.75,107
4,1999-06-11,243.75,262.5,243.75,262.5,20
5,1999-06-14,250.0,256.25,243.75,243.75,139
6,1999-06-15,250.0,256.25,243.75,256.25,230
7,1999-06-16,200.0,256.25,175.0,256.25,513
8,1999-06-17,193.75,200.0,187.5,187.5,94
9,1999-06-18,181.25,193.75,168.75,193.75,239
10,1999-06-21,181.25,187.5,168.75,175.0,181
11,1999-06-22,171.875,187.5,171.875,175.0,180
12,1999-06-23,231.25,250.0,187.5,187.5,311
13,1999-06-24,212.5,250.0,212.5,250.0,135
14,1999-06-25,250.0,250.0,212.5,212.5,133
15,1999-06-28,237.5,256.25,237.5,243.75,68
16,1999-06-29,212.5,237.5,212.5,237.5,183
17,1999-06-30,256.25,256.25,225.0,237.5,218
18,1999-07-01,250.0,256.25,250.0,256.25,36
19,1999-07-02,237.5,250.0,237.5,237.5,81
20,1999-07-06,225.0,237.5,225.0,237.5,53
21,1999-07-07,225.0,225.0,225.0,225.0,37
22,1999-07-08,212.5,243.75,212.5,243.75,169
23,1999-07-09,212.5,218.75,193.75,212.5,258
24,1999-07-12,206.25,215.625,206.25,206.25,33
25,1999-07-13,206.25,206.25,200.0,206.25,37
26,1999-07-14,187.5,206.25,187.5,200.0,80
27,1999-07-15,193.75,200.0,175.0,200.0,211
28,1999-07-16,181.25,195.3125,181.25,193.75,29
29,1999-07-19,181.25,190.625,181.25,181.25,156
30,1999-07-20,178.125,181.25,178.125,181.25,28
31,1999-07-21,193.75,193.75,178.125,178.125,42
32,1999-07-22,181.25,184.375,178.125,178.125,194
33,1999-07-23,190.625,193.75,178.125,178.125,126
34,1999-07-26,181.25,196.875,181.25,193.75,240
35,1999-07-27,193.75,193.75,187.5,187.5,65
36,1999-07-28,215.625,225.0,187.5,193.75,506
37,1999-07-29,225.0,225.0,206.25,206.25,12
38,1999-07-30,206.25,225.0,206.25,225.0,29
39,1999-08-02,225.0,225.0,206.25,206.25,27
40,1999-08-03,193.75,225.0,187.5,225.0,326
41,1999-08-04,175.0,193.75,175.0,193.75,144
42,1999-08-05,181.25,187.5,175.0,175.0,80
43,1999-08-06,193.75,200.0,181.25,181.25,166
44,1999-08-09,187.5,193.75,187.5,193.75,30
45,1999-08-10,171.875,193.75,171.875,193.75,271
46,1999-08-11,162.5,175.0,162.5,171.875,179
47,1999-08-12,168.75,168.75,162.5,162.5,282
48,1999-08-13,184.375,184.375,168.75,175.0,237
49,1999-08-16,262.5,268.75,196.875,196.875,1030
50,1999-08-17,262.5,293.75,262.5,265.625,415
51,1999-08-18,256.25,287.5,256.25,256.25,209
52,1999-08-19,256.25,275.0,256.25,262.5,146
53,1999-08-20,243.75,256.25,243.75,250.0,143
54,1999-08-23,262.5,268.75,243.75,262.5,178
55,1999-08-24,250.0,262.5,243.75,262.5,135
56,1999-08-25,240.625,250.0,237.5,250.0,176
57,1999-08-26,240.625,240.625,228.125,228.125,127
58,1999-08-27,225.0,240.625,225.0,240.625,158
