,Date,Close,High,Low,Open,Volume
0,2023-11-17,155.25,212.5,141.75,212.5,53824
1,2023-11-20,130.25,164.25,125.625,164.25,13484
2,2023-11-21,141.75,141.75,105.5,123.25,12548
3,2023-11-22,159.25,162.0,132.6999969482422,141.25,9436
4,2023-11-24,151.25,165.47500610351562,135.0,158.75,8720
5,2023-11-27,135.5,157.5,131.25,148.875,9980
6,2023-11-28,157.0,157.0,134.5,144.5,14308
7,2023-11-29,158.0,160.75,134.25,146.5,13888
8,2023-11-30,150.75,160.0,145.0,160.0,9412
9,2023-12-01,153.0,153.0,140.75,140.75,10080
10,2023-12-04,150.75,156.25,146.5,155.5,10252
11,2023-12-05,152.5,159.875,146.25,153.75,12076
12,2023-12-06,150.875,155.0,144.0,155.0,9516
13,2023-12-07,151.5,155.0,145.0,145.0,9144
14,2023-12-08,149.0,153.75,145.5,145.5,7772
15,2023-12-11,147.25,150.0,142.25,147.0,10224
16,2023-12-12,148.75,148.75,142.0,142.5,10636
17,2023-12-13,151.875,152.75,143.0749969482422,148.5,9972
18,2023-12-14,145.75,151.5,140.5,146.0,10644
19,2023-12-15,108.75,133.75,105.5,133.75,11504
20,2023-12-18,83.25,104.75,80.0,100.0,11060
21,2023-12-19,99.75,106.0,83.5,90.25,11396
22,2023-12-20,106.75,111.25,96.05000305175781,102.25,9500
23,2023-12-21,108.0,111.0,100.30000305175781,100.75,9900
24,2023-12-22,118.75,118.75,102.5,108.17500305175781,13440
25,2023-12-26,114.0,121.625,110.0,120.0,7664
26,2023-12-27,122.5,122.75,110.0999984741211,111.42500305175781,12188
27,2023-12-28,118.25,122.25,111.5,121.0,9332
28,2023-12-29,116.75,117.75,113.0,116.25,7388
29,2024-01-02,115.0,117.5,112.75,117.25,7888
30,2024-01-03,112.25,115.75,108.75,114.75,7616
31,2024-01-04,108.25,111.5,105.0,111.5,8436
32,2024-01-05,103.5,108.8499984741211,96.25,108.0,7148
33,2024-01-08,91.75,102.2249984741211,84.5,99.25,9812
34,2024-01-09,75.0,96.5,66.75,95.0,13816
35,2024-01-10,76.25,87.5,76.25,81.25,16324
36,2024-01-11,83.75,97.25,77.5,81.2750015258789,14880
37,2024-01-12,85.25,90.25,83.25,88.25,12556
38,2024-01-16,78.75,87.25,78.5,84.75,7952
39,2024-01-17,84.25,84.875,76.25,76.25,10264
40,2024-01-18,82.5,90.5,80.0,81.75,10680
41,2024-01-19,83.75,87.82499694824219,80.25,83.0,10808
42,2024-01-22,80.25,85.25,78.0,84.5,8792
43,2024-01-23,65.75,82.5,65.0250015258789,80.75,13216
44,2024-01-24,73.75,80.75,66.5,68.5,12948
45,2024-01-25,78.25,80.0,73.75,78.5,10100
46,2024-01-26,81.0,81.25,77.5,80.0,9232
47,2024-01-29,81.25,83.5,78.75,82.25,9240
48,2024-01-30,72.0,79.25,68.75,78.75,12916
49,2024-01-31,75.0,78.0,71.25,73.0,9868
50,2024-02-01,75.5,78.0,73.0,76.25,9636
51,2024-02-02,70.5,76.25,70.5,74.0,10164
52,2024-02-05,68.75,73.6500015258789,68.75,71.75,8860
53,2024-02-06,50.0,65.0,49.75,65.0,11064
54,2024-02-07,52.25,58.25,45.75,50.25,13144
55,2024-02-08,42.5,47.29999923706055,41.75,44.75,8816
56,2024-02-09,40.25,44.5,38.79999923706055,43.25,10160
57,2024-02-12,41.5,52.5,39.75,41.25,18680
58,2024-02-13,42.0,42.75,39.5,41.0,9688
59,2024-02-14,43.5,45.375,40.25,41.75,9964
60,2024-02-15,48.75,48.75,41.625,44.07500076293945,11072
61,2024-02-16,52.0,52.0,46.125,47.0,11400
62,2024-02-20,45.0,53.75,42.25,53.0,14604
63,2024-02-21,32.0,47.0,31.274999618530273,43.5,17408
64,2024-02-22,34.0,42.0,33.0,37.0,13896
65,2024-02-23,31.5,36.75,29.25,34.25,11556
66,2024-02-26,30.0,32.25,28.125,31.25,8928
67,2024-02-27,33.0,33.0,29.375,32.5,3488
68,2024-02-28,30.25,32.625,29.75,32.0,1628
69,2024-02-29,27.5,31.100000381469727,27.5,29.5,2092
70,2024-03-01,30.75,30.75,28.0,29.5,1692
71,2024-03-04,29.75,30.5,28.0,30.25,1280
72,2024-03-05,29.0,31.25,27.5,29.25,1972
73,2024-03-06,34.75,38.75,30.25,30.75,7264
74,2024-03-07,32.5,38.25,31.25,38.25,2472
75,2024-03-08,32.5,34.5,29.25,32.0,2116
76,2024-03-11,32.5,32.5,30.75,32.5,1532
77,2024-03-12,30.0,33.57500076293945,29.25,31.5,1420
78,2024-03-13,33.75,34.0,29.950000762939453,29.950000762939453,992
79,2024-03-14,30.0,34.0,30.0,33.75,524
80,2024-03-15,32.5,34.5,31.100000381469727,34.5,836
81,2024-03-18,31.0,33.5,31.0,31.5,1028
82,2024-03-19,32.0,32.849998474121094,30.0,30.75,800
83,2024-03-20,33.25,33.75,30.0,30.5,1096
84,2024-03-21,36.5,36.75,32.25,32.25,2220
85,2024-03-22,31.25,37.5,31.25,35.5,760
86,2024-03-25,31.75,33.25,31.25,32.5,980
87,2024-03-26,32.0,34.0,32.0,34.0,244
88,2024-03-27,30.5,32.25,30.5,32.125,316
89,2024-03-28,30.5,32.92499923706055,29.25,32.25,524
90,2024-04-01,29.5,30.5,29.5,30.0,328
91,2024-04-02,32.5,32.5,28.75,29.0,396
92,2024-04-03,35.0,35.0,29.75,30.0,988
93,2024-04-04,38.25,38.25,31.924999237060547,34.75,1824
94,2024-04-05,35.0,37.0,34.849998474121094,36.0,104
95,2024-04-08,36.0,37.25,34.92499923706055,34.92499923706055,276
96,2024-04-09,38.75,40.0,36.25,36.25,1108
97,2024-04-10,35.0,41.25,35.0,41.25,840
98,2024-04-11,40.0,40.0,35.25,35.5,708
99,2024-04-12,38.0,44.5,37.75,40.0,1400
100,2024-04-15,33.25,38.25,33.25,38.0,660
101,2024-04-16,34.25,35.625,33.25,33.375,484
102,2024-04-17,33.125,37.75,32.5,35.75,640
103,2024-04-18,31.25,34.275001525878906,30.5,33.375,1020
104,2024-04-19,31.5,37.0,31.25,32.5,264
105,2024-04-22,29.5,37.0,27.5,37.0,1048
106,2024-04-23,29.0,31.0,26.0,27.5,728
107,2024-04-24,30.0,31.0,26.25,29.5,1628
108,2024-04-25,27.0,30.0,26.625,29.25,1048
109,2024-04-26,25.0,29.899999618530273,24.450000762939453,29.899999618530273,3172
110,2024-04-29,21.899999618530273,25.25,20.825000762939453,25.0,6160
111,2024-04-30,20.5,22.899999618530273,20.5,21.575000762939453,3224
112,2024-05-01,18.924999237060547,24.75,18.0,21.25,5936
113,2024-05-02,19.524999618530273,20.475000381469727,19.25,20.149999618530273,688
