,Date,Close,High,Low,Open,Volume
0,1988-03-10,6.3125,6.4375,6.3125,0.0,55700
1,1988-03-11,6.1875,6.375,6.1875,0.0,31100
2,1988-03-14,6.1875,6.25,6.1875,0.0,39400
3,1988-03-15,5.6875,5.875,5.6875,0.0,31800
4,1988-03-16,5.375,5.4375,5.375,0.0,66800
5,1988-03-17,5.5,5.625,5.5,0.0,36100
6,1988-03-18,5.625,5.6875,5.625,0.0,39700
7,1988-03-21,5.625,5.6875,5.625,0.0,37800
8,1988-03-22,5.4375,5.6875,5.4375,0.0,13100
9,1988-03-23,5.4375,5.6875,5.4375,0.0,10600
10,1988-03-24,5.5,5.6875,5.5,0.0,12200
11,1988-03-25,5.5,5.5625,5.5,0.0,33800
12,1988-03-28,5.5,5.6875,5.5,0.0,6900
13,1988-03-29,5.5,5.5625,5.5,0.0,14700
14,1988-03-30,5.4375,5.5625,5.4375,0.0,11700
15,1988-03-31,5.375,5.5625,5.375,0.0,14000
16,1988-04-04,5.375,5.5625,5.375,0.0,3300
17,1988-04-05,5.0625,5.25,5.0625,0.0,17500
18,1988-04-06,5.0,5.125,5.0,0.0,25500
19,1988-04-07,5.0,5.125,5.0,0.0,11700
20,1988-04-08,4.875,5.0625,4.875,0.0,11700
21,1988-04-11,4.9375,5.125,4.9375,0.0,11200
22,1988-04-12,4.875,5.0,4.875,0.0,18500
23,1988-04-13,4.875,5.0,4.875,0.0,6000
24,1988-04-14,4.9375,5.0,4.9375,0.0,20200
25,1988-04-15,4.9375,5.0,4.9375,0.0,17200
26,1988-04-18,4.875,5.0,4.875,0.0,6100
27,1988-04-19,4.875,5.0625,4.875,0.0,11400
28,1988-04-20,5.0,5.0625,5.0,0.0,14300
29,1988-04-21,4.875,5.0,4.875,0.0,16200
30,1988-04-22,5.0,5.125,5.0,0.0,34500
31,1988-04-25,5.0,5.1875,5.0,0.0,18900
32,1988-04-26,4.875,5.125,4.875,0.0,13100
33,1988-04-27,5.0,5.125,5.0,0.0,38700
34,1988-04-28,5.0,5.125,5.0,0.0,16200
35,1988-04-29,5.0625,5.1875,5.0625,0.0,27200
36,1988-05-02,5.0625,5.1875,5.0625,0.0,11800
37,1988-05-03,4.9375,5.125,4.9375,0.0,14700
38,1988-05-04,4.4375,4.625,4.4375,0.0,78200
39,1988-05-05,4.375,4.5625,4.375,0.0,76400
40,1988-05-06,4.5625,4.625,4.5625,0.0,12800
41,1988-05-09,4.5,4.625,4.5,0.0,6000
42,1988-05-10,4.375,4.5625,4.375,0.0,6000
43,1988-05-11,4.125,4.4375,4.125,0.0,12200
44,1988-05-12,3.875,4.0625,3.875,0.0,7900
45,1988-05-13,3.875,4.125,3.875,0.0,9500
46,1988-05-16,4.0,4.125,4.0,0.0,6900
47,1988-05-17,4.0625,4.1875,4.0625,0.0,13200
48,1988-05-18,4.3125,4.5,4.3125,0.0,53500
49,1988-05-19,4.0625,4.25,4.0625,0.0,24000
50,1988-05-20,4.375,4.5,4.375,0.0,32700
51,1988-05-23,4.4375,4.625,4.4375,0.0,13900
52,1988-05-24,4.3125,4.5,4.3125,0.0,19900
53,1988-05-25,4.3125,4.5,4.3125,0.0,6900
54,1988-05-26,4.25,4.5,4.25,0.0,10300
55,1988-05-27,4.375,4.625,4.375,0.0,9900
56,1988-05-31,4.3125,4.5,4.3125,0.0,10200
57,1988-06-01,4.4375,4.75,4.4375,0.0,9400
58,1988-06-02,5.0625,5.25,5.0625,0.0,3500
59,1988-06-03,5.0,5.0,5.0,5.0,0
60,1988-06-06,6.375,6.625,6.375,0.0,275200
61,1988-06-07,6.3125,6.4375,6.3125,0.0,175000
62,1988-06-08,6.8125,6.9375,6.8125,0.0,138300
63,1988-06-09,6.875,7.0,6.875,0.0,126500
64,1988-06-10,6.375,6.5,6.375,0.0,123600
65,1988-06-13,6.3125,6.4375,6.3125,0.0,47400
66,1988-06-14,6.3125,6.4375,6.3125,0.0,37800
67,1988-06-15,6.1875,6.25,6.1875,0.0,25800
68,1988-06-16,6.0625,6.25,6.0625,0.0,21000
69,1988-06-17,6.25,6.3125,6.25,0.0,48900
70,1988-06-20,6.125,6.25,6.125,0.0,67000
71,1988-06-21,6.25,6.4375,6.25,0.0,30100
72,1988-06-22,6.625,6.75,6.625,0.0,68400
73,1988-06-23,6.5625,6.625,6.5625,0.0,106100
74,1988-06-24,6.5625,6.6875,6.5625,0.0,15000
75,1988-06-27,6.5625,6.6875,6.5625,0.0,34800
76,1988-06-28,6.625,6.75,6.625,0.0,25400
77,1988-06-29,6.625,6.75,6.625,0.0,30500
78,1988-06-30,6.75,6.875,6.75,0.0,23800
79,1988-07-01,6.875,7.0,6.875,0.0,65000
80,1988-07-05,6.875,7.0,6.875,0.0,43000
81,1988-07-06,6.75,7.0,6.75,0.0,27100
82,1988-07-07,6.875,7.0,6.875,0.0,58900
83,1988-07-08,7.0,7.0625,7.0,0.0,46000
84,1988-07-11,7.0,7.0625,7.0,0.0,121300
85,1988-07-12,6.8125,6.875,6.8125,0.0,49900
86,1988-07-13,6.875,7.0,6.875,0.0,22100
87,1988-07-14,6.8125,7.0,6.8125,0.0,19000
88,1988-07-15,6.625,6.75,6.625,0.0,31000
89,1988-07-18,6.4375,6.625,6.4375,0.0,23800
90,1988-07-19,6.3125,6.4375,6.3125,0.0,28200
91,1988-07-20,6.25,6.3125,6.25,0.0,29900
92,1988-07-21,6.0,6.25,6.0,0.0,16900
93,1988-07-22,6.0,6.25,6.0,0.0,10200
94,1988-07-25,5.75,5.9375,5.75,0.0,12100
95,1988-07-26,5.75,5.875,5.75,0.0,11200
96,1988-07-27,5.875,6.0,5.875,0.0,30900
97,1988-07-28,5.75,5.875,5.75,0.0,16300
98,1988-07-29,5.75,5.875,5.75,0.0,11600
99,1988-08-01,5.75,5.875,5.75,0.0,6300
100,1988-08-02,5.75,5.875,5.75,0.0,6300
101,1988-08-03,5.75,5.875,5.75,0.0,18300
102,1988-08-04,5.75,5.875,5.75,0.0,8700
103,1988-08-05,5.75,5.875,5.75,0.0,8400
104,1988-08-08,6.125,6.25,6.125,0.0,62200
105,1988-08-09,5.8125,6.0,5.8125,0.0,39800
106,1988-08-10,5.625,5.8125,5.625,0.0,13400
107,1988-08-11,5.6875,5.8125,5.6875,0.0,26700
108,1988-08-12,5.6875,5.8125,5.6875,0.0,20400
109,1988-08-15,5.625,5.75,5.625,0.0,5400
110,1988-08-16,5.625,5.6875,5.625,0.0,2500
111,1988-08-17,5.5,5.6875,5.5,0.0,13900
112,1988-08-18,5.1875,5.375,5.1875,0.0,33500
113,1988-08-19,5.1875,5.3125,5.1875,0.0,10100
114,1988-08-22,4.875,5.0,4.875,0.0,22900
115,1988-08-23,4.8125,4.9375,4.8125,0.0,12700
116,1988-08-24,5.5,5.625,5.5,0.0,143400
117,1988-08-25,5.5,5.5625,5.5,0.0,24800
118,1988-08-26,6.125,6.1875,6.125,0.0,82900
119,1988-08-29,6.0625,6.1875,6.0625,0.0,33200
120,1988-08-30,5.875,5.9375,5.875,0.0,52500
121,1988-08-31,5.875,6.0,5.875,0.0,11900
122,1988-09-01,5.75,5.9375,5.75,0.0,31100
123,1988-09-02,5.75,5.9375,5.75,0.0,26200
124,1988-09-06,6.0,6.125,6.0,0.0,67900
125,1988-09-07,6.0,6.125,6.0,0.0,41600
126,1988-09-08,6.0625,6.1875,6.0625,0.0,55800
127,1988-09-09,6.0625,6.25,6.0625,0.0,47200
128,1988-09-12,6.5625,6.75,6.5625,0.0,159100
129,1988-09-13,6.625,6.6875,6.625,0.0,104900
130,1988-09-14,7.0,7.125,7.0,0.0,131400
131,1988-09-15,7.125,7.25,7.125,0.0,167900
132,1988-09-16,7.0,7.125,7.0,0.0,61000
133,1988-09-19,6.625,6.75,6.625,0.0,41700
134,1988-09-20,6.625,6.75,6.625,0.0,49200
135,1988-09-21,6.875,7.0,6.875,0.0,48300
136,1988-09-22,6.75,6.875,6.75,0.0,15500
137,1988-09-23,6.6875,6.8125,6.6875,0.0,29600
138,1988-09-26,6.625,6.75,6.625,0.0,13600
139,1988-09-27,6.4375,6.5625,6.4375,0.0,24200
140,1988-09-28,6.3125,6.4375,6.3125,0.0,16500
141,1988-09-29,6.5,6.625,6.5,0.0,16500
142,1988-09-30,6.5,6.625,6.5,0.0,15900
