,Date,Close,High,Low,Open,Volume
0,2018-07-27,1410000.0,1500000.0,1260000.0,1500000.0,0
1,2018-07-30,1323000.0,1350000.0,1275000.0,1275000.0,0
2,2018-07-31,1425000.0,1425000.0,1320000.0,1425000.0,0
3,2018-08-01,1350000.0,1425000.0,1350000.0,1425000.0,0
4,2018-08-02,1413000.0,1416000.0,1350000.0,1416000.0,0
5,2018-08-03,1416000.0,1416000.0,1287000.0,1287000.0,0
6,2018-08-06,1419000.0,1425000.0,1365000.0,1416000.0,0
7,2018-08-07,1416000.0,1425000.0,1359000.0,1359000.0,0
8,2018-08-08,1467000.0,1500000.0,1377000.0,1500000.0,0
9,2018-08-09,1434000.0,1440000.0,1356000.0,1440000.0,0
10,2018-08-10,1368000.0,1467000.0,1365000.0,1431000.0,0
11,2018-08-13,1350000.0,1464000.0,1350000.0,1368000.0,0
12,2018-08-14,1422000.0,1422000.0,1365000.0,1410000.0,0
13,2018-08-15,1422000.0,1422000.0,1422000.0,1422000.0,0
14,2018-08-16,1425000.0,1425000.0,1389000.0,1389000.0,0
15,2018-08-17,1455000.0,1455000.0,1395000.0,1395000.0,0
16,2018-08-20,1455000.0,1458000.0,1395000.0,1419000.0,0
17,2018-08-21,1425000.0,1449000.0,1425000.0,1449000.0,0
18,2018-08-22,1383000.0,1425000.0,1380000.0,1422000.0,0
19,2018-08-23,1428000.0,1467000.0,1398000.0,1458000.0,0
20,2018-08-24,1440000.0,1440000.0,1419000.0,1419000.0,0
21,2018-08-27,1440000.0,1449000.0,1425000.0,1425000.0,0
22,2018-08-28,1455000.0,1455000.0,1434000.0,1434000.0,0
23,2018-08-29,1446000.0,1491000.0,1431000.0,1431000.0,0
24,2018-08-30,1428000.0,1440000.0,1425000.0,1440000.0,0
25,2018-08-31,1455000.0,1488000.0,1425000.0,1431000.0,0
26,2018-09-04,1461000.0,1461000.0,1398000.0,1461000.0,0
27,2018-09-05,1380000.0,1458000.0,1380000.0,1455000.0,0
28,2018-09-06,1380000.0,1440000.0,1350000.0,1380000.0,0
29,2018-09-07,1365000.0,1413000.0,1287000.0,1320000.0,0
30,2018-09-10,1305000.0,1431000.0,1290000.0,1290000.0,0
31,2018-09-11,1350000.0,1413000.0,1275000.0,1290000.0,0
32,2018-09-12,1305000.0,1383000.0,1299000.0,1377000.0,0
33,2018-09-13,1230000.0,1320000.0,1206000.0,1296000.0,0
34,2018-09-14,1188000.0,1320000.0,1074000.0,1206000.0,0
35,2018-09-17,1230000.0,1275000.0,1068000.0,1125000.0,0
36,2018-09-18,1254000.0,1269000.0,1110000.0,1134000.0,0
37,2018-09-19,1224000.0,1257000.0,1200000.0,1254000.0,0
38,2018-09-20,1386000.0,1413000.0,1293000.0,1383000.0,0
39,2018-09-21,1335000.0,1416000.0,1239000.0,1386000.0,0
40,2018-09-24,1359000.0,1398000.0,1341000.0,1341000.0,0
41,2018-09-25,1413000.0,1419000.0,1224000.0,1365000.0,0
42,2018-09-26,1389000.0,1419000.0,1314000.0,1419000.0,0
43,2018-09-27,1398000.0,1410000.0,1398000.0,1410000.0,0
44,2018-09-28,1290000.0,1410000.0,1203000.0,1410000.0,0
45,2018-10-01,1347000.0,1347000.0,1275000.0,1275000.0,0
46,2018-10-02,1290000.0,1326000.0,1203000.0,1326000.0,0
47,2018-10-03,1320000.0,1320000.0,1206000.0,1272000.0,0
48,2018-10-04,1233000.0,1308000.0,1230000.0,1308000.0,0
49,2018-10-05,1275000.0,1332000.0,1275000.0,1332000.0,0
50,2018-10-08,1317000.0,1317000.0,1305000.0,1305000.0,0
51,2018-10-09,1275000.0,1332000.0,1275000.0,1329000.0,0
52,2018-10-10,1296000.0,1365000.0,1200000.0,1365000.0,0
53,2018-10-11,1329000.0,1500000.0,1290000.0,1425000.0,0
54,2018-10-12,1365000.0,1389000.0,1302000.0,1332000.0,0
55,2018-10-15,1335000.0,1359000.0,1335000.0,1359000.0,0
56,2018-10-16,1323000.0,1377000.0,1212000.0,1335000.0,0
57,2018-10-17,1290000.0,1335000.0,1233000.0,1335000.0,0
58,2018-10-18,1335000.0,1356000.0,1335000.0,1338000.0,0
59,2018-10-19,1350000.0,1353000.0,1305000.0,1353000.0,0
60,2018-10-22,1332000.0,1380000.0,1323000.0,1380000.0,0
61,2018-10-23,1356000.0,1437000.0,1341000.0,1350000.0,0
62,2018-10-24,1395000.0,1446000.0,1371000.0,1434000.0,0
63,2018-10-25,1443000.0,1476000.0,1281000.0,1446000.0,0
64,2018-10-26,1569000.0,1620000.0,1425000.0,1425000.0,0
65,2018-10-29,1431000.0,1683000.0,1425000.0,1671000.0,0
66,2018-10-30,1485000.0,1680000.0,1410000.0,1428000.0,0
67,2018-10-31,1536000.0,1557000.0,1485000.0,1557000.0,0
68,2018-11-01,1443000.0,1539000.0,1410000.0,1524000.0,0
69,2018-11-02,1410000.0,1614000.0,1410000.0,1443000.0,0
70,2018-11-05,1464000.0,1563000.0,1455000.0,1539000.0,0
71,2018-11-06,1503000.0,1551000.0,1440000.0,1551000.0,0
72,2018-11-07,1419000.0,1620000.0,1365000.0,1620000.0,0
73,2018-11-08,1311000.0,1416000.0,1311000.0,1416000.0,0
74,2018-11-09,1284000.0,1404000.0,1284000.0,1305000.0,0
75,2018-11-12,1344000.0,1344000.0,1275000.0,1275000.0,0
76,2018-11-13,1359000.0,1377000.0,1305000.0,1317000.0,0
77,2018-11-14,1335000.0,1380000.0,1305000.0,1380000.0,0
78,2018-11-15,1281000.0,1311000.0,1275000.0,1302000.0,0
79,2018-11-16,1380000.0,1422000.0,1233000.0,1305000.0,0
80,2018-11-19,1233000.0,1365000.0,1233000.0,1341000.0,0
81,2018-11-20,1371000.0,1500000.0,1233000.0,1245000.0,0
